round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b,out_tokens,backlog
1,0,coursera,0,1971,1.6061,0,0,0,0,0,0,16,1
1,1,financial_qa,0,1963,3.3504,16,0,0,0,30,629145600,66,1
1,2,legal_contract_qa,0,1964,4.4334,16,0,0,0,30,629145600,24,1
1,3,meeting_summ,0,1938,5.9131,16,0,0,0,30,629145600,70,1
1,4,multidoc_qa,0,1952,3.1023,16,0,0,0,30,629145600,34,1
1,5,narrative_qa,0,1935,3.5769,16,0,0,0,30,629145600,16,1
1,6,natural_question,0,1940,4.1803,16,0,0,0,30,629145600,16,1
1,7,paper_assistant,0,1934,7.1951,16,0,0,0,30,629145600,114,1
1,8,quality,0,1988,4.3719,16,0,0,0,30,629145600,16,1
1,9,review_summ,0,1940,7.2572,16,0,0,0,31,650117120,108,1
1,10,sci_fi,0,1961,1.8238,16,0,0,0,30,629145600,16,1
1,11,scientific_qa,0,1934,3.8358,16,0,0,0,30,629145600,16,1
1,12,topic_retrieval_longchat,0,1945,4.2899,16,0,0,0,30,629145600,16,1
1,13,tpo,0,1994,4.0496,16,0,0,0,30,629145600,16,1
1,14,coursera,0,1986,4.1403,16,0,0,0,31,650117120,16,1
1,15,financial_qa,0,1969,5.949,16,0,0,0,31,650117120,79,1
1,16,legal_contract_qa,0,1961,2.769,16,0,0,0,30,629145600,24,1
1,17,meeting_summ,0,1939,5.2578,16,0,0,0,30,629145600,50,1
1,18,multidoc_qa,0,1936,3.569,16,0,0,0,30,629145600,29,1
1,19,narrative_qa,0,1939,4.0589,16,0,0,0,30,629145600,16,1
1,20,natural_question,0,1939,4.1499,16,0,0,0,30,629145600,16,1
1,21,paper_assistant,0,1934,6.9282,16,0,0,0,30,629145600,114,1
1,22,quality,0,2032,1.897,16,0,0,0,30,629145600,16,1
1,23,review_summ,0,1942,6.3293,16,0,0,0,31,650117120,106,1
1,24,sci_fi,0,1968,1.8868,16,0,0,0,30,629145600,16,1
1,25,scientific_qa,0,1933,3.8041,16,0,0,0,30,629145600,22,1
1,26,topic_retrieval_longchat,0,1945,4.1341,16,0,0,0,30,629145600,16,1
1,27,tpo,0,1980,3.6513,16,0,0,0,30,629145600,16,1
1,28,coursera,0,1980,3.8794,16,0,0,0,30,629145600,16,1
1,29,financial_qa,0,1974,4.5737,16,0,0,0,30,629145600,48,1
