rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.952,2.2162,4.1406,16,0,0
r2,1,2,legal_contract_qa,0,1964,3.169,1.1476,3.471,24,16,0
r5,1,5,narrative_qa,0,1935,6.873,2.2006,4.7266,16,16,0
r6,1,6,natural_question,0,1940,9.076,1.2057,2.6784,16,16,0
r4,1,4,multidoc_qa,0,1952,6.827,1.1485,5.8605,34,16,0
r1,1,1,financial_qa,0,1963,2.063,1.1306,10.7447,66,16,0
r3,1,3,meeting_summ,0,1938,5.372,1.1471,8.1999,70,16,0
r7,1,7,paper_assistant,0,1934,21.605,1.09,4.5014,114,16,0
r8,1,8,quality,0,1988,35.431,1.1574,1.6091,16,16,0
r9,1,9,review_summ,0,1940,37.199,1.081,4.3143,108,16,0
r10,1,10,sci_fi,0,1961,43.956,1.1185,1.566,16,16,0
r11,1,11,scientific_qa,0,1934,50.989,1.0776,2.7873,16,16,0
r12,1,12,topic_retrieval_longchat,0,1945,52.068,1.1168,1.7675,16,16,0
r13,1,13,tpo,0,1994,56.516,1.156,1.6089,16,16,0
r14,1,14,coursera,0,1986,60.596,1.1464,4.136,16,16,0
r16,1,16,legal_contract_qa,0,1961,62.893,1.1628,2.3959,24,16,0
r15,1,15,financial_qa,0,1969,61.745,1.1462,6.5125,79,16,0
r17,1,17,meeting_summ,0,1939,66.298,1.113,2.889,50,16,0
r19,1,19,narrative_qa,0,1939,75.132,1.1161,4.273,16,16,0
r20,1,20,natural_question,0,1939,76.25,2.1703,3.277,16,16,0
r18,1,18,multidoc_qa,0,1936,74.055,1.0759,5.8847,29,16,0
r22,1,22,quality,0,2032,81.966,1.1905,3.1553,16,16,0
r21,1,21,paper_assistant,0,1934,76.252,2.1686,9.1048,114,16,0
r23,1,23,review_summ,0,1942,83.158,1.1471,4.8401,106,16,0
r24,1,24,sci_fi,0,1968,94.732,1.1121,2.7998,16,16,0
r25,1,25,scientific_qa,0,1933,95.847,1.0909,1.9238,22,16,0
r26,1,26,topic_retrieval_longchat,0,1945,101.62,1.1162,1.5609,16,16,0
r27,1,27,tpo,0,1980,107.731,1.1331,2.8856,16,16,0
r28,1,28,coursera,0,1980,108.866,1.148,1.8108,16,16,0
r30,1,30,legal_contract_qa,0,1961,114.787,1.1319,1.8241,16,16,0
r29,1,29,financial_qa,0,1974,113.638,1.1468,3.8842,48,16,0
r31,1,31,meeting_summ,0,1933,126.698,1.0898,2.6702,54,16,0
r32,1,32,multidoc_qa,0,1938,131.327,1.1117,1.555,16,16,0
r33,1,33,narrative_qa,0,1942,133.846,1.0802,2.6107,16,16,0
r34,1,34,natural_question,0,1940,135.251,1.1163,1.5916,16,16,0
r36,1,36,quality,0,2001,142.586,1.1666,9.2846,16,16,0
r38,1,38,sci_fi,0,1954,143.756,2.1898,8.3619,16,16,0
r40,1,40,topic_retrieval_longchat,0,1945,145.95,3.3068,6.3738,16,16,0
r41,1,41,tpo,0,1980,145.951,3.3052,6.3722,16,16,0
r42,1,42,coursera,0,1964,149.259,1.3085,3.2182,16,16,0
r39,1,39,scientific_qa,0,1931,145.948,3.3085,7.5721,35,16,0
r35,1,35,paper_assistant,0,1934,141.135,1.0897,15.2551,114,16,0
r37,1,37,review_summ,0,1943,143.755,2.1914,15.1666,105,16,0
r43,1,43,financial_qa,0,1970,156.344,1.1636,5.2713,38,16,0
r44,1,44,legal_contract_qa,0,1964,157.51,1.1628,5.3681,63,16,0
r45,1,45,meeting_summ,0,1942,159.663,1.1495,5.1698,71,16,0
r46,1,46,multidoc_qa,0,1935,163.701,1.0878,1.5472,16,16,0
r47,1,47,narrative_qa,0,1932,170.627,1.0906,1.5331,16,16,0
r48,1,48,natural_question,0,1941,173.457,1.0836,1.5273,16,16,0
r50,1,50,quality,0,2032,178.583,1.1876,1.8953,16,16,0
r49,1,49,paper_assistant,0,1934,176.157,1.0549,10.6068,114,16,0
r52,1,52,sci_fi,0,1956,182.667,1.1597,5.5873,16,16,0
r53,1,53,scientific_qa,0,1935,183.829,1.1614,4.5796,16,16,0
r54,1,54,topic_retrieval_longchat,0,1945,185.455,1.2086,3.4505,16,16,0
r55,1,55,tpo,0,2009,186.666,1.2859,2.3337,16,16,0
r51,1,51,review_summ,0,1942,181.547,1.1178,9.7645,106,16,0
r56,1,56,coursera,0,2011,191.719,1.1367,2.8884,16,16,0
r57,1,57,financial_qa,0,1971,192.858,1.1426,5.0532,77,16,0
r58,1,58,legal_contract_qa,0,1961,195.885,1.1327,2.0267,20,16,0
r61,1,61,narrative_qa,0,1937,202.016,1.1434,3.296,16,16,0
r62,1,62,natural_question,0,1934,203.162,1.1578,2.2736,16,16,0
r60,1,60,multidoc_qa,0,1935,200.93,1.0845,4.9686,30,16,0
r59,1,59,meeting_summ,0,1942,199.038,1.0802,9.3335,92,16,0
r64,2,14,coursera,1,1984,208.793,1.1442,1.8437,16,16,0
r63,1,63,paper_assistant,0,1934,206.02,1.0918,6.2965,114,16,0
r65,2,8,quality,1,1952,212.797,1.1153,2.8064,16,16,0
r66,2,3,meeting_summ,1,1937,213.913,1.0982,2.9198,55,16,0
