rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.008,4.3429,5.4745,16,0,4
r2,1,2,legal_contract_qa,0,1964,0.009,4.3419,7.3906,24,16,4
r5,1,5,narrative_qa,0,1935,7.401,3.2552,4.4124,16,16,4
r4,1,4,multidoc_qa,0,1952,5.484,1.4537,10.2628,34,16,4
r6,1,6,natural_question,0,1940,11.816,3.3109,8.1471,16,16,4
r1,1,1,financial_qa,0,1963,0.008,4.3424,24.6281,66,16,4
r3,1,3,meeting_summ,0,1938,0.009,4.3415,28.4821,70,16,4
r8,1,8,quality,0,1988,19.965,4.2029,12.769,16,16,4
r10,1,10,sci_fi,0,1961,28.493,4.0108,8.4953,16,16,4
r11,1,11,scientific_qa,0,1934,32.736,3.4886,8.0698,16,16,4
r12,1,12,topic_retrieval_longchat,0,1945,36.99,3.5871,8.0777,16,16,4
r13,1,13,tpo,0,1994,40.808,3.4868,7.9065,16,16,4
r14,1,14,coursera,0,1986,45.07,3.4106,8.3417,16,16,4
r16,1,16,legal_contract_qa,0,1961,53.413,3.8249,5.6299,24,16,4
r7,1,7,paper_assistant,0,1934,15.748,3.828,47.2594,114,16,4
r9,1,9,review_summ,0,1940,24.638,3.6998,41.3241,108,16,4
r15,1,15,financial_qa,0,1969,48.716,3.9157,21.4349,79,16,4
r19,1,19,narrative_qa,0,1939,65.963,3.2541,7.6674,16,16,4
r18,1,18,multidoc_qa,0,1936,63.009,2.4062,14.1888,29,16,4
r17,1,17,meeting_summ,0,1939,59.045,2.5424,20.8452,50,16,3
r20,1,20,natural_question,0,1939,70.153,3.4027,12.7987,16,16,4
r22,1,22,quality,0,2032,77.2,4.1487,8.9765,16,16,4
r24,1,24,sci_fi,0,1968,82.954,2.8354,8.2587,16,16,4
r25,1,25,scientific_qa,0,1933,86.178,4.4221,10.2193,22,16,4
r26,1,26,topic_retrieval_longchat,0,1945,91.214,4.3399,8.4069,16,16,4
r27,1,27,tpo,0,1980,96.4,3.0683,8.0872,16,16,4
r28,1,28,coursera,0,1980,99.623,4.0064,9.1389,16,16,4
r30,1,30,legal_contract_qa,0,1961,108.764,4.0459,5.2192,16,16,4
r29,1,29,financial_qa,0,1974,104.489,4.1186,15.9793,48,16,4
r23,1,23,review_summ,0,1942,79.891,2.5185,44.6776,106,16,4
r21,1,21,paper_assistant,0,1934,73.633,3.4137,54.7611,114,16,4
r32,1,32,multidoc_qa,0,1938,120.47,4.0981,12.6465,16,16,4
r33,1,33,narrative_qa,0,1942,124.571,3.7471,12.6691,16,16,4
r34,1,34,natural_question,0,1940,128.396,3.9578,13.2306,16,16,4
r31,1,31,meeting_summ,0,1933,113.985,4.4346,32.0199,54,16,4
r36,1,36,quality,0,2001,137.242,4.3094,13.521,16,16,4
r38,1,38,sci_fi,0,1954,146.007,4.2174,9.6789,16,16,4
r40,1,40,topic_retrieval_longchat,0,1945,155.688,4.2077,5.3576,16,16,4
r39,1,39,scientific_qa,0,1931,150.765,4.4641,13.7291,35,16,4
r41,1,41,tpo,0,1980,161.048,2.7498,7.8657,16,16,4
r42,1,42,coursera,0,1964,164.496,4.1069,9.2521,16,16,4
r43,1,43,financial_qa,0,1970,168.915,4.1311,10.7175,38,16,4
r37,1,37,review_summ,0,1943,141.629,4.1464,41.1246,105,16,4
r35,1,35,paper_assistant,0,1934,133.119,4.1207,52.9157,114,16,4
r46,1,46,multidoc_qa,0,1935,182.755,3.125,8.4746,16,16,4
r47,1,47,narrative_qa,0,1932,186.036,4.3477,9.962,16,16,4
r44,1,44,legal_contract_qa,0,1964,173.75,3.8369,26.8451,63,16,4
r48,1,48,natural_question,0,1941,191.231,4.613,14.2498,16,16,4
r50,1,50,quality,0,2032,200.597,4.34,9.3529,16,16,4
r52,1,52,sci_fi,0,1956,209.952,4.4012,5.5579,16,16,4
r45,1,45,meeting_summ,0,1942,179.635,2.4096,39.6996,71,16,4
r53,1,53,scientific_qa,0,1935,215.512,3.8228,8.9548,16,16,4
r54,1,54,topic_retrieval_longchat,0,1945,219.337,4.1307,9.6896,16,16,4
r55,1,55,tpo,0,2009,224.469,4.5577,10.1719,16,16,4
r56,1,56,coursera,0,2011,229.028,4.5918,8.2926,16,16,4
r58,1,58,legal_contract_qa,0,1961,237.323,3.757,5.247,20,16,4
r49,1,49,paper_assistant,0,1934,196.0,4.443,52.3869,114,16,4
r51,1,51,review_summ,0,1942,205.483,4.0009,46.1981,106,16,4
r61,1,61,narrative_qa,0,1937,251.682,2.8612,4.0234,16,16,4
r60,1,60,multidoc_qa,0,1935,248.389,3.0603,11.9157,30,16,4
r57,1,57,financial_qa,0,1971,234.641,2.6797,30.2376,77,16,4
r62,1,62,natural_question,0,1934,255.708,4.0515,12.4719,16,16,3
r64,2,14,coursera,1,1984,264.881,7.2806,8.334,16,1920,3
r65,2,8,quality,1,1952,268.181,4.6468,5.7345,16,1920,3
r59,1,59,meeting_summ,0,1942,242.572,4.3938,31.9449,92,16,3
r67,2,48,natural_question,1,1941,273.917,3.5617,4.6564,16,1920,2
r68,2,18,multidoc_qa,1,1952,274.518,3.4418,5.761,33,1920,2
r69,2,26,topic_retrieval_longchat,1,1945,278.576,0.851,1.9551,16,1920,2
r66,2,3,meeting_summ,1,1937,273.217,0.545,7.4714,55,1920,1
r71,2,63,paper_assistant,1,2032,280.532,0.2757,1.4499,16,1920,4
r70,2,41,tpo,1,1987,280.28,0.8052,1.9548,16,1920,4
r72,2,56,coursera,1,2007,280.689,0.741,1.778,16,1920,4
r63,1,63,paper_assistant,0,1934,260.306,4.419,22.2342,114,16,4
r74,2,0,coursera,1,1974,282.236,4.3683,5.4826,16,1920,4
r76,2,55,tpo,1,1989,282.541,4.7118,5.7985,16,1920,4
r73,2,17,meeting_summ,1,1934,281.984,4.1405,6.8664,39,1920,2
r78,2,11,scientific_qa,2,1944,288.342,1.3057,2.3956,16,1920,1
r75,2,16,legal_contract_qa,1,1981,282.468,4.3853,9.3356,67,1920,2
r80,2,27,tpo,1,1990,290.739,0.9082,1.9197,16,1920,2
r77,2,51,review_summ,1,1948,287.721,0.5427,6.2066,78,1920,1
r83,2,13,tpo,1,2008,293.93,0.713,1.8857,16,1920,2
r79,2,31,meeting_summ,1,1932,288.851,1.1891,7.193,83,1920,2
r81,2,59,meeting_summ,1,1942,291.806,0.8535,4.9947,58,1920,3
r84,2,50,quality,1,2032,295.817,0.8594,2.0619,16,1920,3
r85,2,7,paper_assistant,1,2032,296.045,1.055,2.0873,16,1920,3
r82,2,9,review_summ,1,1945,292.661,0.7242,6.8824,82,1920,3
r87,2,21,paper_assistant,1,2032,297.881,0.7584,1.9143,16,1920,3
