rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.008,4.405,10.5953,16,0,9
r5,1,5,narrative_qa,0,1935,0.01,8.5945,13.5366,16,16,8
r6,1,6,natural_question,0,1940,0.011,8.594,13.5361,16,16,8
r2,1,2,legal_contract_qa,0,1964,0.009,4.404,20.5453,24,16,9
r8,1,8,quality,0,1988,10.605,7.0384,13.217,16,16,9
r10,1,10,sci_fi,0,1961,13.548,6.2831,12.3398,16,16,8
r4,1,4,multidoc_qa,0,1952,0.01,8.595,27.3089,34,16,8
r11,1,11,scientific_qa,0,1934,20.556,2.252,10.2533,16,16,9
r12,1,12,topic_retrieval_longchat,0,1945,23.824,3.4946,9.8059,16,16,8
r13,1,13,tpo,0,1994,25.889,3.1665,8.7195,16,16,7
r14,1,14,coursera,0,1986,27.32,2.9094,10.8871,16,16,7
r1,1,1,financial_qa,0,1963,0.008,4.4044,43.9645,66,16,8
r3,1,3,meeting_summ,0,1938,0.009,4.4035,46.2609,70,16,8
r16,1,16,legal_contract_qa,0,1961,33.632,4.5757,16.7879,24,16,8
r18,1,18,multidoc_qa,0,1936,38.208,4.0168,17.3825,29,16,8
r19,1,19,narrative_qa,0,1939,43.975,2.0058,13.8336,16,16,7
r20,1,20,natural_question,0,1939,46.272,3.7134,17.3251,16,16,8
r22,1,22,quality,0,2032,55.593,6.563,12.9551,16,16,8
r17,1,17,meeting_summ,0,1939,34.609,6.5072,37.8782,50,16,8
r24,1,24,sci_fi,0,1968,63.599,3.485,13.5802,16,16,8
r7,1,7,paper_assistant,0,1934,0.011,8.5935,83.2376,114,16,8
r26,1,26,topic_retrieval_longchat,0,1945,72.49,4.6899,15.2973,16,16,8
r15,1,15,financial_qa,0,1969,30.811,1.7983,60.5423,79,16,8
r27,1,27,tpo,0,1980,77.182,4.7517,14.1722,16,16,8
r25,1,25,scientific_qa,0,1933,68.55,3.7931,28.8702,22,16,6
r9,1,9,review_summ,0,1940,13.548,6.2836,90.4873,108,16,8
r28,1,28,coursera,0,1980,83.251,4.2459,25.5943,16,16,8
r30,1,30,legal_contract_qa,0,1961,91.356,11.2297,22.5388,16,16,8
r32,1,32,multidoc_qa,0,1938,97.421,6.3242,20.1338,16,16,7
r33,1,33,narrative_qa,0,1942,104.037,4.2293,19.4551,16,16,8
r34,1,34,natural_question,0,1940,108.847,4.4702,19.6736,16,16,8
r36,1,36,quality,0,2001,117.556,5.6472,16.0971,16,16,8
r38,1,38,sci_fi,0,1954,128.523,4.4092,11.026,16,16,8
r29,1,29,financial_qa,0,1974,87.789,3.5648,54.4901,48,16,8
r31,1,31,meeting_summ,0,1933,91.357,11.228,55.9624,54,16,8
r40,1,40,topic_retrieval_longchat,0,1945,139.551,2.7283,13.0652,16,16,8
r41,1,41,tpo,0,1980,142.281,4.172,14.8687,16,16,8
r21,1,21,paper_assistant,0,1934,50.422,4.4448,111.5877,114,16,8
r23,1,23,review_summ,0,1942,57.809,5.4978,104.2003,106,16,8
r39,1,39,scientific_qa,0,1931,133.655,4.7349,35.4413,35,16,8
r42,1,42,coursera,0,1964,147.322,4.57,25.2257,16,16,7
r46,1,46,multidoc_qa,0,1935,162.013,7.0836,17.6741,16,16,8
r47,1,47,narrative_qa,0,1932,169.099,7.7145,15.3215,16,16,8
r48,1,48,natural_question,0,1941,172.549,5.4147,15.5743,16,16,7
r43,1,43,financial_qa,0,1970,152.618,4.5318,42.9269,38,16,8
r50,1,50,quality,0,2032,184.423,8.5701,16.1327,16,16,8
r52,1,52,sci_fi,0,1956,195.547,4.7185,11.3575,16,16,8
r53,1,53,scientific_qa,0,1935,200.557,4.7532,10.7969,16,16,8
r37,1,37,review_summ,0,1943,123.494,4.4468,92.5848,105,16,8
r44,1,44,legal_contract_qa,0,1964,157.152,4.422,58.9268,63,16,8
r35,1,35,paper_assistant,0,1934,113.897,8.0815,110.8158,114,16,8
r54,1,54,topic_retrieval_longchat,0,1945,206.907,4.1585,22.4003,16,16,8
r55,1,55,tpo,0,2009,211.356,4.1406,22.8496,16,16,8
r45,1,45,meeting_summ,0,1942,162.011,7.0853,75.9782,71,16,8
r56,1,56,coursera,0,2011,216.081,8.345,27.0921,16,16,8
r58,1,58,legal_contract_qa,0,1961,224.715,4.4491,23.9451,20,16,8
r61,1,61,narrative_qa,0,1937,237.992,4.8946,13.8876,16,16,8
r62,1,62,natural_question,0,1934,243.175,4.6212,12.4937,16,16,7
r60,1,60,multidoc_qa,0,1935,234.208,3.7818,25.7499,30,16,7
r64,2,14,coursera,1,1984,251.881,7.5504,12.8352,16,1920,6
r65,2,8,quality,1,1952,255.671,4.2869,9.6295,16,1920,5
r51,1,51,review_summ,0,1942,188.124,5.9732,78.6248,106,16,5
r49,1,49,paper_assistant,0,1934,179.689,4.7312,90.9306,114,16,4
r67,2,48,natural_question,1,1941,264.718,0.9431,9.5487,16,1920,3
r57,1,57,financial_qa,0,1971,216.083,8.3432,58.6719,77,16,4
r69,2,26,topic_retrieval_longchat,1,1945,266.751,7.8837,13.3878,16,1920,5
r71,2,63,paper_assistant,1,2032,274.269,0.3652,5.8693,16,1920,5
r70,2,41,tpo,1,1987,270.621,7.9073,9.9784,16,1920,5
r68,2,18,multidoc_qa,1,1952,265.302,1.0116,15.531,33,1920,4
r59,1,59,meeting_summ,0,1942,229.309,4.6075,51.886,92,16,3
r72,2,56,coursera,1,2007,274.757,4.3632,6.4385,16,1920,3
r66,2,3,meeting_summ,1,1937,259.96,4.1772,25.8037,55,1920,2
r74,2,0,coursera,1,1974,280.142,5.8346,7.3362,16,1920,2
r76,2,55,tpo,1,1989,280.834,5.8104,7.62,16,1920,2
r78,2,11,scientific_qa,2,1944,281.197,6.0365,8.0615,16,1920,2
r73,2,17,meeting_summ,1,1934,280.14,5.4843,10.0214,39,1920,2
r63,1,63,paper_assistant,0,1934,248.662,2.7886,41.6246,114,16,2
r80,2,27,tpo,1,1990,287.481,1.172,6.7335,16,1920,1
r83,2,13,tpo,1,2008,290.164,4.8187,7.0535,16,1920,3
r84,2,50,quality,1,2032,290.288,4.8558,7.1732,16,1920,2
r85,2,7,paper_assistant,1,2032,294.216,1.5412,3.9061,16,1920,1
r75,2,16,legal_contract_qa,1,1981,280.601,5.5769,18.2005,67,1920,0
r81,2,59,meeting_summ,1,1942,288.456,0.9172,12.6879,58,1920,1
r87,2,21,paper_assistant,1,2032,297.462,1.6004,3.682,16,1920,1
r77,2,51,review_summ,1,1948,281.196,5.907,20.2581,78,1920,1
r88,2,61,narrative_qa,1,1938,298.123,1.2952,3.3308,16,1920,1
r89,2,20,natural_question,1,1934,298.802,0.8902,2.9833,16,1920,0
r79,2,31,meeting_summ,1,1932,285.764,1.948,16.5915,83,1920,0
r82,2,9,review_summ,1,1945,289.259,0.7606,14.3828,82,1920,0
r91,2,25,scientific_qa,1,1935,301.148,1.6053,2.9896,16,1920,0
r86,2,58,legal_contract_qa,1,1976,297.22,1.2504,7.5852,60,1920,0
r93,2,32,multidoc_qa,1,1942,301.456,2.5304,4.4544,17,1920,0
r94,2,38,sci_fi,1,1964,301.786,2.3514,4.1248,16,1920,0
r95,2,24,sci_fi,1,1969,302.357,2.4475,4.1762,16,1920,0
r96,2,40,topic_retrieval_longchat,1,1945,303.643,1.5954,3.3104,16,1920,0
r99,2,6,natural_question,1,1936,305.913,1.0407,2.9265,16,1920,0
r90,2,15,financial_qa,1,1983,301.146,1.0552,7.8185,65,1920,0
r100,2,33,narrative_qa,1,1941,305.914,1.4774,3.4224,16,1920,0
r101,2,10,sci_fi,1,1966,306.535,1.4266,3.256,16,1920,0
r92,2,43,financial_qa,1,1964,301.455,1.9826,8.5484,59,1920,0
r97,2,2,legal_contract_qa,1,1976,304.139,1.6302,6.612,45,1920,0
r98,2,4,multidoc_qa,1,1953,304.807,0.9621,6.3366,49,1920,0
r104,2,12,topic_retrieval_longchat,1,1945,308.967,1.3034,3.1561,16,1920,1
r105,2,54,topic_retrieval_longchat,1,1945,309.338,1.0618,2.9071,16,1920,1
r103,2,46,multidoc_qa,1,1940,308.841,1.0608,3.5068,22,1920,1
r106,2,19,narrative_qa,1,1939,309.793,1.1473,2.9651,16,1920,1
r108,2,49,paper_assistant,1,2032,310.753,0.8229,2.4985,16,1920,1
r111,2,42,coursera,1,1997,312.246,1.4737,3.6632,16,1920,2
r102,2,37,review_summ,1,1945,306.955,1.1595,9.7978,72,1920,1
r112,2,28,coursera,1,2002,312.35,2.2557,4.4033,16,1920,1
r114,2,62,natural_question,1,1936,313.253,1.7821,3.8595,16,1920,1
r109,2,29,financial_qa,1,1963,311.145,0.9773,8.2165,57,1920,1
r116,2,22,quality,1,2032,316.755,1.0124,2.9841,16,1920,1
r107,2,45,meeting_summ,1,1934,310.005,1.3494,9.9412,67,1920,1
r117,2,34,natural_question,1,1937,316.757,1.5785,3.6234,16,1920,0
r118,2,53,scientific_qa,1,1935,317.114,1.3709,3.3773,16,1920,0
r110,2,30,legal_contract_qa,1,1976,312.125,1.0266,8.5228,58,1920,0
r119,2,5,narrative_qa,1,1937,319.364,1.1279,2.4385,16,1920,1
r113,2,44,legal_contract_qa,1,1976,312.759,2.126,9.1225,58,1920,1
r120,2,36,quality,1,1997,319.741,1.2508,2.5355,16,1920,1
r122,2,52,sci_fi,1,1962,320.382,1.7392,3.1603,16,1920,1
r124,2,47,narrative_qa,1,1940,320.649,2.141,4.0041,16,1920,1
r127,2,35,paper_assistant,1,2032,322.278,1.8786,3.5178,16,1920,1
r115,2,57,financial_qa,1,1960,315.912,1.201,10.8074,88,1920,1
r126,2,39,scientific_qa,1,1934,321.883,1.6598,4.9136,30,1920,1
r125,2,60,multidoc_qa,1,1934,321.804,1.4004,5.4903,41,1920,1
r121,2,1,financial_qa,1,1966,319.949,1.6491,8.4669,82,1920,1
r123,2,23,review_summ,1,1941,320.494,1.9542,8.9672,107,1920,1
