round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b,out_tokens,backlog
1,0,coursera,0,1971,1.6115,0,0,0,0,0,0,16,1
1,1,financial_qa,0,1963,3.0714,16,0,0,0,0,0,66,1
1,2,legal_contract_qa,0,1964,1.785,16,0,0,0,0,0,24,1
1,3,meeting_summ,0,1938,3.1717,16,0,0,0,0,0,70,1
1,4,multidoc_qa,0,1952,2.0674,16,0,0,0,0,0,34,1
1,5,narrative_qa,0,1935,1.5301,16,0,0,0,0,0,16,1
1,6,natural_question,0,1940,1.5523,16,0,0,0,0,0,16,1
1,7,paper_assistant,0,1934,4.4745,16,0,0,0,0,0,114,1
1,8,quality,0,1988,1.6064,16,0,0,0,0,0,16,1
1,9,review_summ,0,1940,4.3416,16,0,0,0,0,0,108,1
1,10,sci_fi,0,1961,1.5426,16,0,0,0,0,0,16,1
1,11,scientific_qa,0,1934,1.5229,16,0,0,0,0,0,16,1
1,12,topic_retrieval_longchat,0,1945,1.5605,16,0,0,0,0,0,16,1
1,13,tpo,0,1994,1.5949,16,0,0,0,0,0,16,1
1,14,coursera,0,1986,1.5974,16,0,0,0,0,0,16,1
1,15,financial_qa,0,1969,3.5095,16,0,0,0,0,0,79,1
1,16,legal_contract_qa,0,1961,1.7842,16,0,0,0,0,0,24,1
1,17,meeting_summ,0,1939,2.5438,16,0,0,0,0,0,50,1
1,18,multidoc_qa,0,1936,1.9009,16,0,0,0,0,0,29,1
1,19,narrative_qa,0,1939,1.5414,16,0,0,0,0,0,16,1
1,20,natural_question,0,1939,1.5499,16,0,0,0,0,0,16,1
1,21,paper_assistant,0,1934,4.4634,16,0,0,0,0,0,114,1
1,22,quality,0,2032,1.6417,16,0,0,0,0,0,16,1
1,23,review_summ,0,1942,4.2837,16,0,0,0,0,0,106,1
1,24,sci_fi,0,1968,1.5745,16,0,0,0,0,0,16,1
1,25,scientific_qa,0,1933,1.7051,16,0,0,0,0,0,22,1
1,26,topic_retrieval_longchat,0,1945,1.55,16,0,0,0,0,0,16,1
1,27,tpo,0,1980,1.6056,16,0,0,0,0,0,16,1
1,28,coursera,0,1980,1.5855,16,0,0,0,0,0,16,1
1,29,financial_qa,0,1974,2.5442,16,0,0,0,0,0,48,1
1,30,legal_contract_qa,0,1961,1.5439,16,0,0,0,0,0,16,1
1,31,meeting_summ,0,1933,2.6526,16,0,0,0,0,0,54,1
1,32,multidoc_qa,0,1938,1.5595,16,0,0,0,0,0,16,1
1,33,narrative_qa,0,1942,1.5431,16,0,0,0,0,0,16,1
1,34,natural_question,0,1940,1.5467,16,0,0,0,0,0,16,1
1,35,paper_assistant,0,1934,4.4902,16,0,0,0,0,0,114,1
1,36,quality,0,2001,1.6095,16,0,0,0,0,0,16,1
1,37,review_summ,0,1943,4.2452,16,0,0,0,0,0,105,1
1,38,sci_fi,0,1954,1.5476,16,0,0,0,0,0,16,1
1,39,scientific_qa,0,1931,2.0683,16,0,0,0,0,0,35,1
1,40,topic_retrieval_longchat,0,1945,1.5526,16,0,0,0,0,0,16,1
1,41,tpo,0,1980,1.5943,16,0,0,0,0,0,16,1
1,42,coursera,0,1964,1.5711,16,0,0,0,0,0,16,1
1,43,financial_qa,0,1970,2.2521,16,0,0,0,0,0,38,1
1,44,legal_contract_qa,0,1964,2.9998,16,0,0,0,0,0,63,1
1,45,meeting_summ,0,1942,3.1967,16,0,0,0,0,0,71,1
1,46,multidoc_qa,0,1935,1.5436,16,0,0,0,0,0,16,1
1,47,narrative_qa,0,1932,1.5279,16,0,0,0,0,0,16,1
1,48,natural_question,0,1941,1.5502,16,0,0,0,0,0,16,1
1,49,paper_assistant,0,1934,4.4932,16,0,0,0,0,0,114,1
1,50,quality,0,2032,1.648,16,0,0,0,0,0,16,1
1,51,review_summ,0,1942,4.2721,16,0,0,0,0,0,106,1
1,52,sci_fi,0,1956,1.5681,16,0,0,0,0,0,16,1
1,53,scientific_qa,0,1935,1.5439,16,0,0,0,0,0,16,1
1,54,topic_retrieval_longchat,0,1945,1.5599,16,0,0,0,0,0,16,1
1,55,tpo,0,2009,1.6121,16,0,0,0,0,0,16,1
1,56,coursera,0,2011,1.6154,16,0,0,0,0,0,16,1
1,57,financial_qa,0,1971,3.4439,16,0,0,0,0,0,77,1
1,58,legal_contract_qa,0,1961,1.6822,16,0,0,0,0,0,20,1
1,59,meeting_summ,0,1942,3.8509,16,0,0,0,0,0,92,1
1,60,multidoc_qa,0,1935,1.9164,16,0,0,0,0,0,30,1
1,61,narrative_qa,0,1937,1.5573,16,0,0,0,0,0,16,1
1,62,natural_question,0,1934,1.5229,16,0,0,0,0,0,16,1
1,63,paper_assistant,0,1934,4.4903,16,0,0,0,0,0,114,1
2,14,coursera,1,1984,1.219,1920,1904,30,623902720,0,0,16,1
2,8,quality,1,1952,1.2342,1920,1904,30,623902720,0,0,16,0
2,3,meeting_summ,1,1937,2.4166,1920,1904,30,623902720,0,0,55,0
2,48,natural_question,1,1941,1.1998,1920,1904,30,623902720,0,0,16,0
2,18,multidoc_qa,1,1952,1.7382,1920,1904,30,623902720,0,0,33,0
2,26,topic_retrieval_longchat,1,1945,1.2319,1920,1904,30,623902720,0,0,16,0
2,41,tpo,1,1987,1.2424,1920,1904,30,623902720,0,0,16,1
2,63,paper_assistant,1,2032,0.6055,1920,0,0,0,0,0,16,1
2,56,coursera,1,2007,1.2466,1920,1904,30,623902720,0,0,16,1
2,17,meeting_summ,1,1934,1.4813,1920,1904,30,623902720,0,0,39,0
2,0,coursera,1,1974,0.797,1920,1904,30,623902720,0,0,16,0
2,16,legal_contract_qa,1,1981,2.4379,1920,1904,30,623902720,0,0,67,0
2,55,tpo,1,1989,0.9034,1920,1904,30,623902720,0,0,16,1
2,51,review_summ,1,1948,2.7136,1920,1904,30,623902720,0,0,78,0
2,11,scientific_qa,2,1944,0.81,1920,1904,30,623902720,0,0,16,0
2,31,meeting_summ,1,1932,2.8242,1920,1904,30,623902720,0,0,83,0
2,27,tpo,1,1990,0.868,1920,1904,30,623902720,0,0,16,1
2,59,meeting_summ,1,1942,2.0413,1920,1904,30,623902720,0,0,58,0
2,9,review_summ,1,1945,3.1987,1920,1904,30,623902720,0,0,82,0
2,13,tpo,1,2008,1.2797,1920,1904,30,623902720,0,0,16,1
2,50,quality,1,2032,1.2943,1920,1904,30,623902720,0,0,16,1
2,7,paper_assistant,1,2032,1.3341,1920,1904,30,623902720,0,0,16,1
2,58,legal_contract_qa,1,1976,2.5974,1920,1904,30,623902720,0,0,60,0
2,21,paper_assistant,1,2032,1.2442,1920,1904,30,623902720,0,0,16,1
2,61,narrative_qa,1,1938,1.1516,1920,1904,30,623902720,0,0,16,0
2,20,natural_question,1,1934,1.1735,1920,1904,30,623902720,0,0,16,0
2,15,financial_qa,1,1983,2.739,1920,1904,30,623902720,0,0,65,0
2,25,scientific_qa,1,1935,0.7553,1920,1904,30,623902720,0,0,16,0
2,43,financial_qa,1,1964,2.1059,1920,1904,30,623902720,0,0,59,0
2,32,multidoc_qa,1,1942,0.8461,1920,1904,30,623902720,0,0,17,0
2,38,sci_fi,1,1964,0.7822,1920,1904,30,623902720,0,0,16,0
2,24,sci_fi,1,1969,0.7981,1920,1904,30,623902720,0,0,16,0
2,40,topic_retrieval_longchat,1,1945,0.813,1920,1904,30,623902720,0,0,16,0
2,2,legal_contract_qa,1,1976,1.7066,1920,1904,30,623902720,0,0,45,0
2,4,multidoc_qa,1,1953,1.7628,1920,1904,30,623902720,0,0,49,0
2,6,natural_question,1,1936,0.7973,1920,1904,30,623902720,0,0,16,0
2,33,narrative_qa,1,1941,1.1755,1920,1904,30,623902720,0,0,16,0
2,10,sci_fi,1,1966,1.1879,1920,1904,30,623902720,0,0,16,0
2,37,review_summ,1,1945,2.8244,1920,1904,30,623902720,0,0,72,0
2,46,multidoc_qa,1,1940,1.3575,1920,1904,30,623902720,0,0,22,0
2,12,topic_retrieval_longchat,1,1945,1.1542,1920,1888,30,618659840,0,0,16,0
2,54,topic_retrieval_longchat,1,1945,1.139,1920,1888,30,618659840,0,0,16,0
2,19,narrative_qa,1,1939,1.1778,1920,1904,30,623902720,0,0,16,0
2,45,meeting_summ,1,1934,2.781,1920,1904,30,623902720,0,0,67,0
2,49,paper_assistant,1,2032,1.2252,1920,1904,30,623902720,0,0,16,1
2,29,financial_qa,1,1963,2.0909,1920,1904,30,623902720,0,0,57,0
2,30,legal_contract_qa,1,1976,2.1145,1920,1904,30,623902720,0,0,58,0
2,42,coursera,1,1997,0.8928,1920,1904,30,623902720,0,0,16,1
2,28,coursera,1,2002,0.97,1920,1904,30,623902720,0,0,16,1
2,44,legal_contract_qa,1,1976,2.2317,1920,1904,30,623902720,0,0,58,0
2,62,natural_question,1,1936,0.8021,1920,1904,30,623902720,0,0,16,0
