round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b,out_tokens,backlog
1,0,coursera,0,1971,1.6045,0,0,0,0,0,0,16,1
1,1,financial_qa,0,1963,3.0688,16,0,0,0,0,0,66,1
1,2,legal_contract_qa,0,1964,1.8026,16,0,0,0,0,0,24,1
1,3,meeting_summ,0,1938,3.1652,16,0,0,0,0,0,70,1
1,4,multidoc_qa,0,1952,2.0622,16,0,0,0,0,0,34,1
1,5,narrative_qa,0,1935,1.5206,16,0,0,0,0,0,16,1
1,6,natural_question,0,1940,1.5493,16,0,0,0,0,0,16,1
1,7,paper_assistant,0,1934,4.4855,16,0,0,0,0,0,114,1
1,8,quality,0,1988,1.5819,16,0,0,0,0,0,16,1
1,9,review_summ,0,1940,4.3578,16,0,0,0,0,0,108,1
1,10,sci_fi,0,1961,1.5527,16,0,0,0,0,0,16,1
1,11,scientific_qa,0,1934,1.5284,16,0,0,0,0,0,16,1
1,12,topic_retrieval_longchat,0,1945,1.5549,16,0,0,0,0,0,16,1
1,13,tpo,0,1994,1.6161,16,0,0,0,0,0,16,1
1,14,coursera,0,1986,1.6136,16,0,0,0,0,0,16,1
1,15,financial_qa,0,1969,3.515,16,0,0,0,0,0,79,1
1,16,legal_contract_qa,0,1961,1.787,16,0,0,0,0,0,24,1
1,17,meeting_summ,0,1939,2.5776,16,0,0,0,0,0,50,1
1,18,multidoc_qa,0,1936,1.8911,16,0,0,0,0,0,29,1
1,19,narrative_qa,0,1939,1.5527,16,0,0,0,0,0,16,1
1,20,natural_question,0,1939,1.5622,16,0,0,0,0,0,16,1
1,21,paper_assistant,0,1934,4.5079,16,0,0,0,0,0,114,1
1,22,quality,0,2032,1.6417,16,0,0,0,0,0,16,1
1,23,review_summ,0,1942,4.2833,16,0,0,0,0,0,106,1
1,24,sci_fi,0,1968,1.5899,16,0,0,0,0,0,16,1
1,25,scientific_qa,0,1933,1.7115,16,0,0,0,0,0,22,1
1,26,topic_retrieval_longchat,0,1945,1.5598,16,0,0,0,0,0,16,1
1,27,tpo,0,1980,1.5999,16,0,0,0,0,0,16,1
1,28,coursera,0,1980,1.5841,16,0,0,0,0,0,16,1
1,29,financial_qa,0,1974,2.5657,16,0,0,0,0,0,48,1
1,30,legal_contract_qa,0,1961,1.5468,16,0,0,0,0,0,16,1
1,31,meeting_summ,0,1933,2.6779,16,0,0,0,0,0,54,1
1,32,multidoc_qa,0,1938,1.5542,16,0,0,0,0,0,16,1
1,33,narrative_qa,0,1942,1.5674,16,0,0,0,0,0,16,1
1,34,natural_question,0,1940,1.5608,16,0,0,0,0,0,16,1
1,35,paper_assistant,0,1934,4.5062,16,0,0,0,0,0,114,1
1,36,quality,0,2001,1.6226,16,0,0,0,0,0,16,1
1,37,review_summ,0,1943,4.2582,16,0,0,0,0,0,105,1
1,38,sci_fi,0,1954,1.5493,16,0,0,0,0,0,16,1
1,39,scientific_qa,0,1931,2.1007,16,0,0,0,0,0,35,1
1,40,topic_retrieval_longchat,0,1945,1.551,16,0,0,0,0,0,16,1
1,41,tpo,0,1980,1.5944,16,0,0,0,0,0,16,1
1,42,coursera,0,1964,1.5757,16,0,0,0,0,0,16,1
1,43,financial_qa,0,1970,2.2519,16,0,0,0,0,0,38,1
1,44,legal_contract_qa,0,1964,3.0071,16,0,0,0,0,0,63,1
1,45,meeting_summ,0,1942,3.2075,16,0,0,0,0,0,71,1
1,46,multidoc_qa,0,1935,1.5016,16,0,0,0,0,0,16,1
1,47,narrative_qa,0,1932,1.5008,16,0,0,0,0,0,16,1
1,48,natural_question,0,1941,1.566,16,0,0,0,0,0,16,1
1,49,paper_assistant,0,1934,4.5017,16,0,0,0,0,0,114,1
1,50,quality,0,2032,1.6415,16,0,0,0,0,0,16,1
1,51,review_summ,0,1942,4.2841,16,0,0,0,0,0,106,1
1,52,sci_fi,0,1956,1.5465,16,0,0,0,0,0,16,1
1,53,scientific_qa,0,1935,1.5034,16,0,0,0,0,0,16,1
1,54,topic_retrieval_longchat,0,1945,1.5549,16,0,0,0,0,0,16,1
1,55,tpo,0,2009,1.6374,16,0,0,0,0,0,16,1
1,56,coursera,0,2011,1.6275,16,0,0,0,0,0,16,1
1,57,financial_qa,0,1971,3.4616,16,0,0,0,0,0,77,1
1,58,legal_contract_qa,0,1961,1.669,16,0,0,0,0,0,20,1
1,59,meeting_summ,0,1942,3.855,16,0,0,0,0,0,92,1
1,60,multidoc_qa,0,1935,1.919,16,0,0,0,0,0,30,1
1,61,narrative_qa,0,1937,1.5508,16,0,0,0,0,0,16,1
1,62,natural_question,0,1934,1.537,16,0,0,0,0,0,16,1
1,63,paper_assistant,0,1934,4.4983,16,0,0,0,0,0,114,1
2,14,coursera,1,1984,1.4526,1920,1904,30,623902720,0,0,16,1
2,8,quality,1,1952,1.4169,1920,1904,30,623902720,0,0,16,0
2,3,meeting_summ,1,1937,2.7056,1920,1904,30,623902720,0,0,55,0
2,48,natural_question,1,1941,1.5566,1920,1904,30,623902720,0,0,16,0
2,18,multidoc_qa,1,1952,2.1816,1920,1904,30,623902720,0,0,33,0
2,26,topic_retrieval_longchat,1,1945,1.4547,1920,1904,30,623902720,0,0,16,0
2,41,tpo,1,1987,1.7582,1920,1904,30,623902720,0,0,16,1
2,63,paper_assistant,1,2032,0.6051,1920,0,0,0,0,0,16,1
2,56,coursera,1,2007,1.7952,1920,1904,30,623902720,0,0,16,1
2,17,meeting_summ,1,1934,1.7668,1920,1904,30,623902720,0,0,39,0
2,0,coursera,1,1974,1.167,1920,1904,30,623902720,0,0,16,0
2,16,legal_contract_qa,1,1981,2.9461,1920,1904,30,623902720,0,0,67,0
2,55,tpo,1,1989,1.1985,1920,1904,30,623902720,0,0,16,1
2,51,review_summ,1,1948,2.9977,1920,1904,30,623902720,0,0,78,0
2,11,scientific_qa,2,1944,1.234,1920,1904,30,623902720,0,0,16,0
2,31,meeting_summ,1,1932,3.1276,1920,1904,30,623902720,0,0,83,0
