rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.952,1.2319,4.2455,16,0,0
r2,1,2,legal_contract_qa,0,1964,2.091,2.3447,4.6444,24,16,0
r5,1,5,narrative_qa,0,1935,6.871,2.2113,4.6642,16,16,0
r6,1,6,natural_question,0,1940,9.084,1.2584,2.6785,16,16,0
r4,1,4,multidoc_qa,0,1952,6.827,1.1741,5.7904,34,16,0
r1,1,1,financial_qa,0,1963,2.091,2.3453,10.7112,66,16,0
r3,1,3,meeting_summ,0,1938,5.381,1.1741,8.1403,70,16,0
r7,1,7,paper_assistant,0,1934,21.605,1.0861,4.4834,114,16,0
r8,1,8,quality,0,1988,35.431,1.1678,1.618,16,16,0
r9,1,9,review_summ,0,1940,37.199,1.0889,4.2946,108,16,0
r10,1,10,sci_fi,0,1961,43.957,1.1157,1.5594,16,16,0
r11,1,11,scientific_qa,0,1934,50.989,1.0695,2.7488,16,16,0
r12,1,12,topic_retrieval_longchat,0,1945,52.06,1.1461,1.7661,16,16,0
r13,1,13,tpo,0,1994,56.516,1.1543,1.631,16,16,0
r14,1,14,coursera,0,1986,60.596,1.1626,4.078,16,16,0
r16,1,16,legal_contract_qa,0,1961,62.933,1.1948,2.3832,24,16,0
r15,1,15,financial_qa,0,1969,61.761,1.1699,6.4367,79,16,0
r17,1,17,meeting_summ,0,1939,66.322,1.1302,2.8571,50,16,0
r19,1,19,narrative_qa,0,1939,75.128,1.1438,4.2231,16,16,0
r20,1,20,natural_question,0,1939,76.274,2.1797,3.2578,16,16,0
r18,1,18,multidoc_qa,0,1936,74.055,1.0712,5.7939,29,16,0
r22,1,22,quality,0,2032,81.977,1.2123,3.1435,16,16,0
r21,1,21,paper_assistant,0,1934,76.276,2.1769,8.9369,114,16,0
r23,1,23,review_summ,0,1942,83.191,1.1925,4.7725,106,16,0
r24,1,24,sci_fi,0,1968,94.732,1.1173,2.782,16,16,0
r25,1,25,scientific_qa,0,1933,95.852,1.1262,1.9297,22,16,0
r26,1,26,topic_retrieval_longchat,0,1945,101.62,1.1137,1.5609,16,32,0
r27,1,27,tpo,0,1980,107.731,1.1371,2.8675,16,16,0
r28,1,28,coursera,0,1980,108.87,1.184,1.8186,16,16,0
r30,1,30,legal_contract_qa,0,1961,114.803,1.168,1.848,16,16,0
r29,1,29,financial_qa,0,1974,113.638,1.1636,3.8995,48,16,0
r31,1,31,meeting_summ,0,1933,126.698,1.0912,2.6709,54,16,0
r32,1,32,multidoc_qa,0,1938,131.327,1.1245,1.5696,16,16,0
r33,1,33,narrative_qa,0,1942,133.847,1.1211,2.6587,16,16,0
r34,1,34,natural_question,0,1940,135.266,1.1427,1.6163,16,16,0
r36,1,36,quality,0,2001,142.57,1.1806,8.9991,16,16,0
r38,1,38,sci_fi,0,1954,143.754,2.2228,8.1835,16,16,0
r41,1,41,tpo,0,1980,145.982,2.3099,6.2609,16,16,0
r40,1,40,topic_retrieval_longchat,0,1945,145.981,3.5508,6.4643,16,32,0
r42,1,42,coursera,0,1964,148.294,2.4124,4.227,16,16,0
r39,1,39,scientific_qa,0,1931,145.979,2.3133,7.5185,35,16,0
r35,1,35,paper_assistant,0,1934,141.135,1.1049,15.1682,114,16,0
r37,1,37,review_summ,0,1943,143.752,2.2246,12.7663,105,16,0
r43,1,43,financial_qa,0,1970,156.334,2.6591,6.9403,38,16,0
r44,1,44,legal_contract_qa,0,1964,157.49,2.6329,8.3235,63,16,0
r46,1,46,multidoc_qa,0,1935,163.692,1.1893,2.1218,16,16,0
r45,1,45,meeting_summ,0,1942,160.125,1.1908,6.0226,71,16,0
r47,1,47,narrative_qa,0,1932,170.627,2.0048,2.4652,16,16,0
r48,1,48,natural_question,0,1941,173.457,1.1065,1.552,16,16,0
r50,1,50,quality,0,2032,178.574,1.2247,1.9325,16,16,0
r49,1,49,paper_assistant,0,1934,176.157,1.0746,5.8779,114,16,0
r52,1,52,sci_fi,0,1956,182.247,5.0683,8.5266,16,16,0
r53,1,53,scientific_qa,0,1935,183.559,3.757,7.2153,16,16,0
r55,1,55,tpo,0,2009,187.319,1.2969,3.6405,16,16,0
r54,1,54,topic_retrieval_longchat,0,1945,187.318,2.6471,3.8252,16,32,0
r56,1,56,coursera,0,2011,191.745,1.2115,1.9136,16,16,0
r51,1,51,review_summ,0,1942,181.544,3.6151,14.5449,106,16,0
