round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b
1,0,coursera,0,1971,1.1085,0,0,0,0,0,0
1,1,financial_qa,0,1963,1.1235,16,0,0,0,0,0
1,2,legal_contract_qa,0,1964,1.1015,16,0,0,0,0,0
1,3,meeting_summ,0,1938,1.1156,16,0,0,0,0,0
1,4,multidoc_qa,0,1952,1.1125,16,0,0,0,0,0
1,5,narrative_qa,0,1935,1.0572,16,0,0,0,0,0
1,6,natural_question,0,1940,1.0878,16,0,0,0,0,0
1,7,paper_assistant,0,1934,1.0569,16,0,0,0,0,0
1,8,quality,0,1988,1.1294,16,0,0,0,0,0
1,9,review_summ,0,1940,1.0859,16,0,0,0,0,0
1,10,sci_fi,0,1961,1.1273,16,0,0,0,0,0
1,11,scientific_qa,0,1934,1.0878,16,0,0,0,0,0
1,12,topic_retrieval_longchat,0,1945,1.1092,16,0,0,0,0,0
1,13,tpo,0,1994,1.1482,16,0,0,0,0,0
1,14,coursera,0,1986,1.164,16,0,0,0,0,0
1,15,financial_qa,0,1969,1.1293,16,0,0,0,0,0
1,16,legal_contract_qa,0,1961,1.1264,16,0,0,0,0,0
1,17,meeting_summ,0,1939,1.1025,16,0,0,0,0,0
1,18,multidoc_qa,0,1936,1.0863,16,0,0,0,0,0
1,19,narrative_qa,0,1939,1.1004,16,0,0,0,0,0
1,20,natural_question,0,1939,1.1039,16,0,0,0,0,0
1,21,paper_assistant,0,1934,1.0927,16,0,0,0,0,0
1,22,quality,0,2032,1.1915,16,0,0,0,0,0
1,23,review_summ,0,1942,1.1057,16,0,0,0,0,0
1,24,sci_fi,0,1968,1.127,16,0,0,0,0,0
1,25,scientific_qa,0,1933,1.0905,16,0,0,0,0,0
1,26,topic_retrieval_longchat,0,1945,1.1208,16,0,0,0,0,0
1,27,tpo,0,1980,1.1425,16,0,0,0,0,0
2,9,review_summ,1,1945,0.7698,1920,1904,30,623902720,0,0
2,25,scientific_qa,1,1935,0.1045,1920,0,0,0,0,0
2,20,natural_question,1,1934,0.0456,1920,0,0,0,0,0
2,1,financial_qa,1,1966,0.7755,1920,1904,30,623902720,0,0
2,10,sci_fi,1,1966,0.772,1920,1904,30,623902720,0,0
2,6,natural_question,1,1936,0.5186,1920,1904,30,623902720,0,0
2,5,narrative_qa,1,1937,0.5103,1920,1904,30,623902720,0,0
2,12,topic_retrieval_longchat,1,1945,0.7104,1920,1888,30,618659840,0,0
2,3,meeting_summ,1,1937,0.4334,1920,1904,30,623902720,0,0
2,27,tpo,1,1990,0.477,1920,1520,24,498073600,0,0
2,4,multidoc_qa,1,1953,0.5644,1920,1904,30,623902720,0,0
2,16,legal_contract_qa,1,1981,0.7786,1920,1904,30,623902720,0,0
2,13,tpo,1,2008,0.5881,1920,1904,30,623902720,0,0
2,21,paper_assistant,1,2032,0.5779,1920,1904,30,623902720,0,0
2,7,paper_assistant,1,2032,0.4873,1920,1904,30,623902720,0,0
2,15,financial_qa,1,1983,0.4827,1920,1904,30,623902720,0,0
2,14,coursera,1,1984,0.4899,1920,1904,30,623902720,0,0
2,22,quality,1,2032,0.9449,1920,1904,30,623902720,0,0
2,24,sci_fi,1,1969,0.7955,1920,1904,30,623902720,0,0
2,17,meeting_summ,1,1934,0.4508,1920,1904,30,623902720,0,0
2,2,legal_contract_qa,1,1976,0.5343,1920,1904,30,623902720,0,0
2,18,multidoc_qa,1,1952,0.6569,1920,1904,30,623902720,0,0
2,0,coursera,1,1974,0.7526,1920,1904,30,623902720,0,0
2,11,scientific_qa,2,1944,0.7464,1920,1904,30,623902720,0,0
2,23,review_summ,1,1941,0.7462,1920,1904,30,623902720,0,0
2,19,narrative_qa,1,1939,0.7157,1920,1904,30,623902720,0,0
2,8,quality,1,1952,0.4285,1920,1904,30,623902720,0,0
2,26,topic_retrieval_longchat,1,1945,0.478,1920,1904,30,623902720,0,0
