round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b
1,0,coursera,0,1971,1.0765,0,0,0,0,0,0
1,1,financial_qa,0,1963,1.0574,16,0,0,0,0,0
1,2,legal_contract_qa,0,1964,1.0622,16,0,0,0,0,0
1,3,meeting_summ,0,1938,1.049,16,0,0,0,0,0
1,4,multidoc_qa,0,1952,1.048,16,0,0,0,0,0
1,5,narrative_qa,0,1935,1.0265,16,0,0,0,0,0
1,6,natural_question,0,1940,1.0479,16,0,0,0,0,0
1,7,paper_assistant,0,1934,1.0284,16,0,0,0,0,0
1,8,quality,0,1988,1.0998,16,0,0,0,0,0
1,9,review_summ,0,1940,1.059,16,0,0,0,0,0
1,10,sci_fi,0,1961,1.0714,16,0,0,0,0,0
1,11,scientific_qa,0,1934,1.0381,16,0,0,0,0,0
1,12,topic_retrieval_longchat,0,1945,1.0575,16,0,0,0,0,0
1,13,tpo,0,1994,1.0995,16,0,0,0,0,0
1,14,coursera,0,1986,1.1006,16,0,0,0,0,0
1,15,financial_qa,0,1969,1.085,16,0,0,0,0,0
1,16,legal_contract_qa,0,1961,1.0728,16,0,0,0,0,0
1,17,meeting_summ,0,1939,1.0565,16,0,0,0,0,0
1,18,multidoc_qa,0,1936,1.0393,16,0,0,0,0,0
1,19,narrative_qa,0,1939,1.0593,16,0,0,0,0,0
1,20,natural_question,0,1939,1.0585,16,0,0,0,0,0
1,21,paper_assistant,0,1934,1.0373,16,0,0,0,0,0
1,22,quality,0,2032,1.1304,16,0,0,0,0,0
1,23,review_summ,0,1942,1.0565,16,0,0,0,0,0
1,24,sci_fi,0,1968,1.0714,16,0,0,0,0,0
1,25,scientific_qa,0,1933,1.0371,16,0,0,0,0,0
1,26,topic_retrieval_longchat,0,1945,1.0578,16,0,0,0,0,0
1,27,tpo,0,1980,1.0866,16,0,0,0,0,0
2,9,review_summ,1,1945,1.0606,16,0,0,0,0,0
2,25,scientific_qa,1,1935,0.1102,1920,0,0,0,0,0
2,20,natural_question,1,1934,0.0501,1920,0,0,0,0,0
2,1,financial_qa,1,1966,1.0676,16,0,0,0,0,0
2,10,sci_fi,1,1966,1.0699,16,0,0,0,0,0
2,6,natural_question,1,1936,1.035,16,0,0,0,0,0
2,5,narrative_qa,1,1937,1.055,16,0,0,0,0,0
2,12,topic_retrieval_longchat,1,1945,1.0477,32,0,0,0,0,0
2,3,meeting_summ,1,1937,1.0535,16,0,0,0,0,0
2,27,tpo,1,1990,1.0296,400,0,0,0,0,0
2,4,multidoc_qa,1,1953,1.0744,16,0,0,0,0,0
2,16,legal_contract_qa,1,1981,1.0938,16,0,0,0,0,0
2,13,tpo,1,2008,1.1221,16,0,0,0,0,0
2,21,paper_assistant,1,2032,1.1367,16,0,0,0,0,0
2,7,paper_assistant,1,2032,1.1375,16,0,0,0,0,0
2,15,financial_qa,1,1983,1.0938,16,0,0,0,0,0
2,14,coursera,1,1984,1.0938,16,0,0,0,0,0
2,22,quality,1,2032,1.1379,16,0,0,0,0,0
2,24,sci_fi,1,1969,1.0941,16,0,0,0,0,0
2,17,meeting_summ,1,1934,1.0451,16,0,0,0,0,0
2,2,legal_contract_qa,1,1976,1.0955,16,0,0,0,0,0
2,18,multidoc_qa,1,1952,1.0669,16,0,0,0,0,0
2,0,coursera,1,1974,1.0933,16,0,0,0,0,0
2,11,scientific_qa,2,1944,1.0656,16,0,0,0,0,0
2,23,review_summ,1,1941,1.0661,16,0,0,0,0,0
2,19,narrative_qa,1,1939,1.0663,16,0,0,0,0,0
2,8,quality,1,1952,1.0644,16,0,0,0,0,0
2,26,topic_retrieval_longchat,1,1945,1.0667,16,0,0,0,0,0
