rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.951,3.2773,4.1741,16,0,3
r2,1,2,legal_contract_qa,0,1964,2.087,2.2063,4.7808,24,16,3
r5,1,5,narrative_qa,0,1935,6.87,3.135,5.639,16,16,5
r6,1,6,natural_question,0,1940,10.007,1.1952,2.6557,16,16,5
r4,1,4,multidoc_qa,0,1952,6.811,2.1471,6.7769,34,16,5
r1,1,1,financial_qa,0,1963,2.087,2.2068,11.8979,66,16,5
r3,1,3,meeting_summ,0,1938,5.401,1.4072,9.3465,70,16,5
r7,1,7,paper_assistant,0,1934,21.605,1.0916,4.4883,114,16,1
r8,1,8,quality,0,1988,35.431,1.1607,1.6105,16,16,1
r9,1,9,review_summ,0,1940,37.887,1.0769,4.2968,108,16,1
r10,1,10,sci_fi,0,1961,44.822,1.1108,1.5559,16,16,1
r11,1,11,scientific_qa,0,1934,50.989,1.0784,2.7777,16,16,2
r12,1,12,topic_retrieval_longchat,0,1945,52.069,1.1098,1.7571,16,16,2
r13,1,13,tpo,0,1994,56.729,1.1549,1.6055,16,16,1
r14,1,14,coursera,0,1986,60.778,1.1527,4.1318,16,16,3
r16,1,16,legal_contract_qa,0,1961,61.935,2.1823,3.4362,24,16,3
r15,1,15,financial_qa,0,1969,61.933,2.1839,9.2896,79,16,2
r17,1,17,meeting_summ,0,1939,66.31,3.8845,5.7205,50,16,2
r19,1,19,narrative_qa,0,1939,75.135,1.1111,4.2454,16,16,4
r20,1,20,natural_question,0,1939,76.248,2.1541,3.2533,16,16,4
r18,1,18,multidoc_qa,0,1936,74.054,1.0783,5.8565,29,16,4
r22,1,22,quality,0,2032,81.959,3.7643,5.7367,16,16,3
r21,1,21,paper_assistant,0,1934,76.25,2.1524,11.6337,114,16,3
r23,1,23,review_summ,0,1942,84.593,2.2299,5.9375,106,16,3
r24,1,24,sci_fi,0,1968,94.732,1.1215,2.8111,16,16,2
r25,1,25,scientific_qa,0,1933,95.856,1.0923,1.9255,22,16,2
r26,1,26,topic_retrieval_longchat,0,1945,101.894,1.1074,1.55,16,16,1
r27,1,27,tpo,0,1980,107.731,1.1344,2.8755,16,16,2
r28,1,28,coursera,0,1980,108.867,1.1404,1.7994,16,16,2
r30,1,30,legal_contract_qa,0,1961,115.315,2.1852,2.8704,16,16,2
r29,1,29,financial_qa,0,1974,115.313,2.1871,3.8402,48,16,2
r31,1,31,meeting_summ,0,1933,126.698,1.0908,2.6651,54,16,1
r32,1,32,multidoc_qa,0,1938,131.327,1.1143,1.6098,16,16,1
r33,1,33,narrative_qa,0,1942,134.749,1.1092,2.8112,16,16,2
r34,1,34,natural_question,0,1940,135.861,1.1121,1.7593,16,16,2
r36,1,36,quality,0,2001,143.116,2.1983,9.3292,16,16,8
r38,1,38,sci_fi,0,1954,145.316,2.1964,7.3745,16,16,8
r40,1,40,topic_retrieval_longchat,0,1945,147.515,3.3556,5.3799,16,16,8
r41,1,41,tpo,0,1980,147.516,3.3539,5.3782,16,16,8
r42,1,42,coursera,0,1964,147.518,3.3523,5.3767,16,16,8
r39,1,39,scientific_qa,0,1931,145.318,2.1948,8.6104,35,16,8
r37,1,37,review_summ,0,1943,143.118,2.1966,29.3879,105,16,7
r46,1,46,multidoc_qa,0,1935,165.743,4.2903,6.9672,16,16,7
r35,1,35,paper_assistant,0,1934,142.035,1.0792,31.1827,114,16,7
r47,1,47,narrative_qa,0,1932,170.647,1.2416,2.8012,16,16,7
r43,1,43,financial_qa,0,1970,156.35,10.4991,49.4452,38,16,1
r48,1,48,natural_question,0,1941,173.511,7.3231,41.9491,16,16,6
r54,1,54,topic_retrieval_longchat,0,1945,185.486,28.2221,31.2902,16,16,6
r55,1,55,tpo,0,2009,186.654,27.0538,30.1219,16,16,6
r56,1,56,coursera,0,2011,205.797,7.9108,10.9789,16,16,6
r58,1,58,legal_contract_qa,0,1961,205.801,9.0822,20.7197,20,16,3
r44,1,44,legal_contract_qa,0,1964,165.742,4.2914,65.7334,63,16,2
r50,1,50,quality,0,2032,179.735,3.3146,56.4683,16,16,2
r45,1,45,meeting_summ,0,1942,165.743,4.2909,73.1691,71,16,4
