round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b
1,0,coursera,0,1971,1.1101,0,0,0,0,0,0
1,1,financial_qa,0,1963,1.1333,16,0,0,0,0,0
1,2,legal_contract_qa,0,1964,1.1249,16,0,0,0,0,0
1,3,meeting_summ,0,1938,1.1102,16,0,0,0,0,0
1,4,multidoc_qa,0,1952,1.1031,16,0,0,0,0,0
1,5,narrative_qa,0,1935,1.0924,16,0,0,0,0,0
1,6,natural_question,0,1940,1.1027,16,0,0,0,0,0
1,7,paper_assistant,0,1934,1.0923,16,0,0,0,0,0
1,8,quality,0,1988,1.1262,16,0,0,0,0,0
1,9,review_summ,0,1940,1.1123,16,0,0,0,0,0
1,10,sci_fi,0,1961,1.0982,16,0,0,0,0,0
1,11,scientific_qa,0,1934,1.0907,16,0,0,0,0,0
1,12,topic_retrieval_longchat,0,1945,1.1059,16,0,0,0,0,0
1,13,tpo,0,1994,1.1513,16,0,0,0,0,0
1,14,coursera,0,1986,1.1588,16,0,0,0,0,0
1,15,financial_qa,0,1969,1.1322,16,0,0,0,0,0
1,16,legal_contract_qa,0,1961,1.1199,16,0,0,0,0,0
1,17,meeting_summ,0,1939,1.1083,16,0,0,0,0,0
1,18,multidoc_qa,0,1936,1.0932,16,0,0,0,0,0
1,19,narrative_qa,0,1939,1.122,16,0,0,0,0,0
1,20,natural_question,0,1939,1.1029,16,0,0,0,0,0
1,21,paper_assistant,0,1934,1.0711,16,0,0,0,0,0
1,22,quality,0,2032,1.1846,16,0,0,0,0,0
1,23,review_summ,0,1942,1.1226,16,0,0,0,0,0
1,24,sci_fi,0,1968,1.1201,16,0,0,0,0,0
1,25,scientific_qa,0,1933,1.0858,16,0,0,0,0,0
1,26,topic_retrieval_longchat,0,1945,1.1096,16,0,0,0,0,0
1,27,tpo,0,1980,1.1359,16,0,0,0,0,0
2,9,review_summ,1,1945,1.1273,1920,1904,30,623902720,0,0
2,25,scientific_qa,1,1935,0.1008,1920,0,0,0,0,0
2,20,natural_question,1,1934,0.0518,1920,0,0,0,0,0
2,1,financial_qa,1,1966,1.2291,1920,1904,30,623902720,0,0
2,10,sci_fi,1,1966,1.31,1920,1904,30,623902720,0,0
2,6,natural_question,1,1936,1.2401,1920,1904,30,623902720,0,0
2,5,narrative_qa,1,1937,1.1309,1920,1904,30,623902720,0,0
2,12,topic_retrieval_longchat,1,1945,0.988,1920,1888,30,618659840,0,0
2,3,meeting_summ,1,1937,0.7365,1920,1904,30,623902720,0,0
2,27,tpo,1,1990,0.548,1920,1520,24,498073600,0,0
2,4,multidoc_qa,1,1953,1.0299,1920,1904,30,623902720,0,0
2,16,legal_contract_qa,1,1981,1.2808,1920,1904,30,623902720,0,0
2,13,tpo,1,2008,0.694,1920,1904,30,623902720,0,0
2,21,paper_assistant,1,2032,0.8021,1920,1904,30,623902720,0,0
2,7,paper_assistant,1,2032,0.6019,1920,1904,30,623902720,0,0
2,15,financial_qa,1,1983,0.6785,1920,1904,30,623902720,0,0
2,14,coursera,1,1984,0.7438,1920,1904,30,623902720,0,0
2,22,quality,1,2032,1.0453,1920,1904,30,623902720,0,0
2,24,sci_fi,1,1969,1.0712,1920,1904,30,623902720,0,0
2,17,meeting_summ,1,1934,0.7487,1920,1904,30,623902720,0,0
2,2,legal_contract_qa,1,1976,0.6475,1920,1904,30,623902720,0,0
2,18,multidoc_qa,1,1952,1.0606,1920,1904,30,623902720,0,0
2,0,coursera,1,1974,1.1817,1920,1904,30,623902720,0,0
2,11,scientific_qa,2,1944,1.096,1920,1904,30,623902720,0,0
2,23,review_summ,1,1941,1.1415,1920,1904,30,623902720,0,0
2,19,narrative_qa,1,1939,0.9968,1920,1904,30,623902720,0,0
2,8,quality,1,1952,0.6346,1920,1904,30,623902720,0,0
2,26,topic_retrieval_longchat,1,1945,0.5826,1920,1904,30,623902720,0,0
