rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.952,2.2277,4.1585,16,0,3
r2,1,2,legal_contract_qa,0,1964,3.181,1.1538,4.8042,24,16,4
r5,1,5,narrative_qa,0,1935,6.864,2.222,7.4451,16,16,5
r6,1,6,natural_question,0,1940,9.088,3.9048,5.3759,16,16,5
r4,1,4,multidoc_qa,0,1952,6.806,1.1789,8.5887,34,16,5
r1,1,1,financial_qa,0,1963,2.069,1.1346,13.7272,66,16,5
r3,1,3,meeting_summ,0,1938,5.389,1.4143,11.172,70,16,5
r7,1,7,paper_assistant,0,1934,21.605,4.8181,8.2306,114,16,1
r8,1,8,quality,0,1988,35.431,3.851,5.5899,16,16,2
r9,1,9,review_summ,0,1940,38.185,2.188,5.6572,108,16,2
r10,1,10,sci_fi,0,1961,43.956,3.4383,3.8856,16,16,1
r11,1,11,scientific_qa,0,1934,50.989,3.446,5.1725,16,16,2
r12,1,12,topic_retrieval_longchat,0,1945,53.405,2.1203,2.7866,16,16,2
r13,1,13,tpo,0,1994,56.516,2.5908,3.0438,16,16,1
r14,1,14,coursera,0,1986,60.596,2.6237,5.6539,16,16,3
r16,1,16,legal_contract_qa,0,1961,62.135,3.2547,8.2012,24,16,3
r17,1,17,meeting_summ,0,1939,66.297,3.6715,6.0507,50,16,3
r15,1,15,financial_qa,0,1969,62.134,3.2555,10.5829,79,16,3
r19,1,19,narrative_qa,0,1939,76.905,4.1819,6.4732,16,16,5
r20,1,20,natural_question,0,1939,76.905,4.1813,6.4726,16,16,5
r18,1,18,multidoc_qa,0,1936,74.054,3.8795,11.2943,29,16,6
r22,1,22,quality,0,2032,81.994,1.2834,3.4793,16,16,6
r21,1,21,paper_assistant,0,1934,76.906,4.1807,12.4985,114,16,6
r23,1,23,review_summ,0,1942,83.28,1.2155,6.3709,106,16,6
r24,1,24,sci_fi,0,1968,94.732,4.9943,6.7006,16,16,2
r25,1,25,scientific_qa,0,1933,98.641,2.1504,3.0005,22,16,2
r26,1,26,topic_retrieval_longchat,0,1945,101.643,5.2191,5.6635,16,16,1
r27,1,27,tpo,0,1980,107.73,3.4799,5.2485,16,16,2
r28,1,28,coursera,0,1980,110.118,2.2128,2.8917,16,16,2
r30,1,30,legal_contract_qa,0,1961,116.254,2.1769,2.8689,16,16,2
r29,1,29,financial_qa,0,1974,113.637,3.6881,6.4275,48,16,2
r31,1,31,meeting_summ,0,1933,126.698,3.2042,5.8911,54,16,2
r32,1,32,multidoc_qa,0,1938,131.339,1.1138,1.6067,16,16,2
r33,1,33,narrative_qa,0,1942,133.846,3.3309,5.0605,16,16,2
r34,1,34,natural_question,0,1940,136.138,2.1314,2.798,16,16,2
r36,1,36,quality,0,2001,143.391,3.2137,10.5075,16,16,8
r38,1,38,sci_fi,0,1954,144.42,4.3386,9.6029,16,16,8
r40,1,40,topic_retrieval_longchat,0,1945,146.607,4.3642,7.5187,16,16,8
r41,1,41,tpo,0,1980,146.609,4.3625,7.5171,16,16,8
r42,1,42,coursera,0,1964,148.76,3.4034,5.4413,16,16,8
r39,1,39,scientific_qa,0,1931,144.421,4.337,10.8207,35,16,8
r46,1,46,multidoc_qa,0,1935,164.076,4.3205,5.8595,16,16,6
r43,1,43,financial_qa,0,1970,156.357,8.8384,19.6143,38,16,7
r47,1,47,narrative_qa,0,1932,170.657,2.8016,6.8871,16,16,6
r48,1,48,natural_question,0,1941,173.46,1.2628,7.4049,16,16,6
r37,1,37,review_summ,0,1943,143.392,3.2128,38.6729,105,16,7
r35,1,35,paper_assistant,0,1934,141.135,3.2828,48.5882,114,16,8
r50,1,50,quality,0,2032,178.628,3.4368,16.408,16,16,8
r52,1,52,sci_fi,0,1956,185.678,3.32,12.5844,16,16,8
r53,1,53,scientific_qa,0,1935,185.68,3.3184,12.5828,16,16,8
r44,1,44,legal_contract_qa,0,1964,164.075,4.3217,42.5384,63,16,8
r54,1,54,topic_retrieval_longchat,0,1945,185.681,8.6297,25.8923,16,16,8
r45,1,45,meeting_summ,0,1942,164.075,4.3211,51.9811,71,16,8
r55,1,55,tpo,0,2009,186.801,11.3173,40.8647,16,16,7
r56,1,56,coursera,0,2011,193.137,13.4758,40.3133,16,16,8
r58,1,58,legal_contract_qa,0,1961,196.932,14.2047,40.7062,20,16,7
r62,1,62,natural_question,0,1934,204.352,28.8417,37.4782,16,16,7
r61,1,61,narrative_qa,0,1937,204.352,17.2845,41.8007,16,16,6
r64,2,14,coursera,1,1984,209.97,31.8611,37.1933,16,1920,6
r60,1,60,multidoc_qa,0,1935,204.351,17.2851,43.2806,30,16,5
r65,2,8,quality,1,1952,214.767,31.6672,33.6445,16,1920,5
r67,2,48,natural_question,1,1941,219.442,29.6429,40.7614,16,1920,2
r69,2,26,topic_retrieval_longchat,1,1945,233.196,25.866,27.4009,16,1920,2
r51,1,51,review_summ,0,1942,182.067,4.7317,79.2874,106,16,2
