rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.009,4.4766,10.831,16,0,0
r5,1,5,narrative_qa,0,1935,0.012,8.8305,10.952,16,16,0
r6,1,6,natural_question,0,1940,0.012,8.83,10.9515,16,16,0
r2,1,2,legal_contract_qa,0,1964,0.01,4.4755,15.0217,24,16,0
r8,1,8,quality,0,1988,10.842,1.4064,6.6068,16,16,0
r4,1,4,multidoc_qa,0,1952,0.011,8.831,17.5621,34,16,0
r10,1,10,sci_fi,0,1961,10.967,3.4868,6.6069,16,16,0
r11,1,11,scientific_qa,0,1934,15.034,1.401,3.274,16,16,0
r1,1,1,financial_qa,0,1963,0.01,4.476,25.3806,66,16,0
r12,1,12,topic_retrieval_longchat,0,1945,17.451,2.5839,7.9392,16,16,0
r13,1,13,tpo,0,1994,17.575,5.9149,8.0213,16,16,0
r14,1,14,coursera,0,1986,17.577,5.9132,8.0196,16,16,0
r3,1,3,meeting_summ,0,1938,0.011,4.475,27.8721,70,16,0
r19,1,19,narrative_qa,0,1939,25.598,4.4579,7.6419,16,16,0
r20,1,20,natural_question,0,1939,27.885,3.4654,5.6057,16,16,0
r16,1,16,legal_contract_qa,0,1961,25.392,2.3901,10.7664,24,16,0
r18,1,18,multidoc_qa,0,1936,25.597,4.4586,11.4407,29,16,0
r22,1,22,quality,0,2032,33.492,2.5199,4.2815,16,16,0
r7,1,7,paper_assistant,0,1934,0.013,8.8295,38.6953,114,16,0
r17,1,17,meeting_summ,0,1939,25.394,2.3885,13.5513,50,16,0
r9,1,9,review_summ,0,1940,10.965,3.4881,28.5478,108,16,0
r15,1,15,financial_qa,0,1969,18.309,5.1817,21.4286,79,16,0
r21,1,21,paper_assistant,0,1934,33.242,1.3962,17.6136,114,16,0
r24,1,24,sci_fi,0,1968,37.04,8.6617,13.9406,16,16,0
r27,1,27,tpo,0,1980,38.946,6.7556,12.0345,16,16,0
r28,1,28,coursera,0,1980,39.515,8.4258,11.5678,16,16,0
r26,1,26,topic_retrieval_longchat,0,1945,38.71,10.3972,12.4496,16,32,0
r25,1,25,scientific_qa,0,1933,37.776,7.926,13.6308,22,16,0
r29,1,29,financial_qa,0,1974,39.738,8.2029,20.2902,48,16,0
r30,1,30,legal_contract_qa,0,1961,50.858,5.6228,9.6663,16,16,0
r32,1,32,multidoc_qa,0,1938,50.984,5.4961,9.5396,16,16,0
r33,1,33,narrative_qa,0,1942,51.085,5.3959,9.4394,16,16,0
r34,1,34,natural_question,0,1940,51.161,7.4211,9.4387,16,16,0
r31,1,31,meeting_summ,0,1933,50.983,5.4977,16.8236,54,16,0
r36,1,36,quality,0,2001,60.03,6.5343,10.4884,16,16,0
r38,1,38,sci_fi,0,1954,60.528,6.0369,9.991,16,16,0
r23,1,23,review_summ,0,1942,36.161,9.5412,35.3978,106,16,0
r41,1,41,tpo,0,1980,67.808,1.3988,4.058,16,16,0
r40,1,40,topic_retrieval_longchat,0,1945,60.602,9.7722,11.3422,16,32,0
r39,1,39,scientific_qa,0,1931,60.529,6.0352,11.7253,35,16,0
r35,1,35,paper_assistant,0,1934,51.409,7.1739,22.5977,114,16,0
r37,1,37,review_summ,0,1943,60.526,6.0386,14.4943,105,16,0
r42,1,42,coursera,0,1964,70.521,7.9199,15.1604,16,16,0
r46,1,46,multidoc_qa,0,1935,71.946,9.6786,13.8594,16,16,0
r47,1,47,narrative_qa,0,1932,72.257,9.368,13.5488,16,16,0
r48,1,48,natural_question,0,1941,74.007,9.7977,11.8994,16,16,0
r50,1,50,quality,0,2032,85.683,1.43,6.6873,16,16,0
r52,1,52,sci_fi,0,1956,85.809,3.5047,6.6861,16,16,0
r53,1,53,scientific_qa,0,1935,85.909,4.5625,6.6895,16,16,0
r43,1,43,financial_qa,0,1970,70.522,7.9182,22.2808,38,16,0
r44,1,44,legal_contract_qa,0,1964,71.561,6.8802,23.2055,63,16,0
r45,1,45,meeting_summ,0,1942,71.868,9.7561,23.4578,71,16,0
r49,1,49,paper_assistant,0,1934,75.022,8.783,22.3902,114,16,0
r51,1,51,review_summ,0,1942,85.807,3.5064,11.8827,106,16,0
r55,1,55,tpo,0,2009,92.497,7.3695,15.4833,16,16,0
r56,1,56,coursera,0,2011,92.6,9.4838,15.4838,16,16,0
r61,1,61,narrative_qa,0,1937,97.692,8.674,10.494,16,16,0
r58,1,58,legal_contract_qa,0,1961,94.768,11.5978,15.8701,20,16,0
r60,1,60,multidoc_qa,0,1935,97.414,8.9517,16.4887,30,16,0
r62,1,62,natural_question,0,1934,107.982,1.3201,6.1275,16,16,0
r54,1,54,topic_retrieval_longchat,0,1945,92.373,19.5074,24.3919,16,32,0
r65,2,8,quality,1,1952,110.64,2.3984,6.2272,16,16,0
r67,2,48,natural_question,1,1941,114.112,2.4068,5.07,16,16,0
r64,2,14,coursera,1,1984,108.188,9.8562,11.4074,16,16,0
r57,1,57,financial_qa,0,1971,92.805,9.2788,32.3334,77,16,0
r69,2,26,topic_retrieval_longchat,1,1945,116.869,5.9349,9.2721,16,32,0
r70,2,41,tpo,1,1987,119.184,5.0726,7.2109,16,16,0
r71,2,63,paper_assistant,1,2032,119.597,4.6594,6.7977,16,1920,0
r66,2,3,meeting_summ,1,1937,113.905,1.3517,12.6972,55,16,0
r59,1,59,meeting_summ,0,1942,95.328,11.0378,33.9296,92,16,0
r72,2,56,coursera,1,2007,125.141,0.8545,5.8121,16,1920,0
r68,2,18,multidoc_qa,1,1952,116.766,6.0375,14.4983,33,16,0
r74,2,0,coursera,1,1974,126.397,2.4429,7.256,16,16,0
r76,2,55,tpo,1,1989,126.603,2.8342,7.5692,16,1920,0
r78,2,11,scientific_qa,2,1944,130.955,4.367,6.1822,16,16,0
r63,1,63,paper_assistant,0,1934,108.086,2.3483,29.7826,114,16,0
r73,2,17,meeting_summ,1,1934,126.143,6.2562,14.8745,39,16,0
r80,2,27,tpo,1,1990,133.655,5.4076,9.343,16,16,0
r83,2,13,tpo,1,2008,137.87,2.5176,5.3364,16,16,0
r75,2,16,legal_contract_qa,1,1981,126.399,2.4412,18.4515,67,16,0
r85,2,7,paper_assistant,1,2032,143.0,1.4324,3.0526,16,16,0
r81,2,59,meeting_summ,1,1942,134.174,1.716,13.5495,58,1920,0
r77,2,51,review_summ,1,1948,129.26,1.4436,18.5669,78,16,0
r88,2,61,narrative_qa,1,1938,146.055,1.357,6.3141,16,16,0
r79,2,31,meeting_summ,1,1932,131.267,2.3862,21.3124,83,16,0
r84,2,50,quality,1,2032,141.02,8.0164,12.9308,16,16,0
r89,2,20,natural_question,1,1934,147.725,2.4432,6.3252,16,16,0
r87,2,21,paper_assistant,1,2032,144.852,6.7645,9.437,16,16,0
r94,2,38,sci_fi,1,1964,154.053,2.4162,6.3497,16,16,0
r93,2,32,multidoc_qa,1,1942,153.953,2.5161,6.5545,17,16,0
r95,2,24,sci_fi,1,1969,154.291,3.4555,6.3201,16,16,0
r86,2,58,legal_contract_qa,1,1976,143.208,1.798,19.9117,60,1936,0
r82,2,9,review_summ,1,1945,137.139,5.3561,27.0174,82,16,0
r100,2,33,narrative_qa,1,1941,164.158,1.2918,3.8871,16,16,0
r92,2,43,financial_qa,1,1964,152.581,1.3696,15.8761,59,16,0
r96,2,40,topic_retrieval_longchat,1,1945,160.404,6.5996,8.1316,16,32,0
r97,2,2,legal_contract_qa,1,1976,160.509,1.3465,10.9585,45,16,0
r98,2,4,multidoc_qa,1,1953,160.613,2.4039,12.3451,49,16,0
r90,2,15,financial_qa,1,1983,147.829,11.32,25.2284,65,16,0
r103,2,46,multidoc_qa,1,1940,168.538,2.3154,6.3172,22,16,0
r104,2,12,topic_retrieval_longchat,1,1945,171.47,1.2845,3.6181,16,32,0
r105,2,54,topic_retrieval_longchat,1,1945,172.96,1.2545,2.436,16,32,0
r101,2,10,sci_fi,1,1966,168.048,6.6053,7.5804,16,1920,0
r91,2,25,scientific_qa,1,1935,152.371,23.4987,24.1962,16,1920,0
r102,2,37,review_summ,1,1945,168.459,1.261,8.5664,72,16,0
r99,2,6,natural_question,1,1936,163.122,14.7055,15.1523,16,1920,0
r106,2,19,narrative_qa,1,1939,173.059,6.728,7.1712,16,1920,0
r114,2,62,natural_question,1,1936,180.232,1.0868,1.5394,16,16,0
r107,2,45,meeting_summ,1,1934,174.856,9.7461,12.2797,67,1920,0
r108,2,49,paper_assistant,1,2032,175.09,11.2039,12.0461,16,1920,0
r111,2,42,coursera,1,1997,176.568,11.6519,12.7801,16,1920,0
r112,2,28,coursera,1,2002,177.027,11.8488,15.3972,16,1920,0
r109,2,29,financial_qa,1,1963,175.398,11.424,17.78,57,1936,0
r118,2,53,scientific_qa,1,1935,189.35,1.2927,4.1423,16,16,0
r116,2,22,quality,1,2032,187.138,4.2145,6.8701,16,1920,0
r117,2,34,natural_question,1,1937,187.139,5.2851,6.9467,16,496,0
r110,2,30,legal_contract_qa,1,1976,175.629,11.795,19.7309,58,1936,0
r122,2,52,sci_fi,1,1962,194.01,1.2727,3.5556,16,16,0
r124,2,47,narrative_qa,1,1940,195.361,1.2413,2.517,16,16,0
r119,2,5,narrative_qa,1,1937,192.427,4.832,5.9537,16,1920,0
r113,2,44,legal_contract_qa,1,1976,178.276,11.2482,20.3886,58,1936,0
r115,2,57,financial_qa,1,1960,181.773,9.579,17.9997,88,1936,0
r120,2,36,quality,1,1997,193.18,7.048,7.5049,16,1920,0
r127,2,35,paper_assistant,1,2032,198.382,8.4678,10.0155,16,1920,0
r126,2,39,scientific_qa,1,1934,197.88,8.38,11.1474,30,1920,0
r125,2,60,multidoc_qa,1,1934,197.568,8.046,11.5232,41,1920,0
r121,2,1,financial_qa,1,1966,193.494,10.7605,15.9297,82,1936,0
r123,2,23,review_summ,1,1941,194.088,10.8967,16.7492,107,1920,0
