rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.007,4.3393,5.4633,16,0,0
r2,1,2,legal_contract_qa,0,1964,0.008,4.3383,7.7025,24,16,0
r5,1,5,narrative_qa,0,1935,7.713,1.1638,2.3145,16,16,0
r4,1,4,multidoc_qa,0,1952,5.473,1.778,6.5619,34,16,0
r6,1,6,natural_question,0,1940,10.029,1.3874,3.5509,16,16,0
r1,1,1,financial_qa,0,1963,0.008,4.3388,15.2574,66,16,0
r3,1,3,meeting_summ,0,1938,0.009,4.3378,16.5838,70,16,0
r8,1,8,quality,0,1988,13.582,1.2214,4.4279,16,16,0
r10,1,10,sci_fi,0,1961,16.595,1.1858,3.3376,16,16,0
r11,1,11,scientific_qa,0,1934,18.012,1.1568,6.7604,16,16,0
r12,1,12,topic_retrieval_longchat,0,1945,19.934,4.6104,8.5516,16,16,0
r13,1,13,tpo,0,1994,24.774,2.9394,6.2713,16,16,0
r14,1,14,coursera,0,1986,28.488,2.3247,6.401,16,16,0
r16,1,16,legal_contract_qa,0,1961,34.891,2.2446,4.0502,24,16,0
r7,1,7,paper_assistant,0,1934,12.037,1.1573,31.2994,114,16,0
r9,1,9,review_summ,0,1940,15.267,1.173,29.7776,108,16,0
r15,1,15,financial_qa,0,1969,31.047,3.061,16.1047,79,16,0
r19,1,19,narrative_qa,0,1939,45.047,1.1721,3.3532,16,16,0
r18,1,18,multidoc_qa,0,1936,43.337,1.1603,12.3029,29,16,0
r17,1,17,meeting_summ,0,1939,38.943,2.9778,16.7591,50,16,0
r20,1,20,natural_question,0,1939,47.153,1.1714,11.3696,16,16,0
r22,1,22,quality,0,2032,55.642,1.2295,4.4567,16,16,0
r24,1,24,sci_fi,0,1968,58.525,1.1866,6.5991,16,16,0
r25,1,25,scientific_qa,0,1933,60.101,4.4116,10.2983,22,16,0
r26,1,26,topic_retrieval_longchat,0,1945,65.126,4.4296,8.0575,16,16,0
r27,1,27,tpo,0,1980,70.401,2.6305,6.4267,16,16,0
r28,1,28,coursera,0,1980,73.185,2.7857,6.2287,16,16,0
r30,1,30,legal_contract_qa,0,1961,79.415,2.775,3.9483,16,16,0
r29,1,29,financial_qa,0,1974,76.829,2.4317,12.3885,48,16,0
r23,1,23,review_summ,0,1942,55.704,2.2777,34.6927,106,16,0
r21,1,21,paper_assistant,0,1934,48.402,7.0907,43.2364,114,16,0
r32,1,32,multidoc_qa,0,1938,89.219,1.177,4.3538,16,16,0
r33,1,33,narrative_qa,0,1942,90.399,1.1643,5.1967,16,16,0
r34,1,34,natural_question,0,1940,91.639,1.1717,10.2565,16,16,0
r31,1,31,meeting_summ,0,1933,83.365,3.8059,20.0271,54,16,0
r36,1,36,quality,0,2001,95.597,6.2243,9.521,16,16,0
r38,1,38,sci_fi,0,1954,103.394,1.186,7.0994,16,16,0
r40,1,40,topic_retrieval_longchat,0,1945,110.496,1.4888,2.6382,16,16,0
r39,1,39,scientific_qa,0,1931,105.12,4.9172,13.1435,35,16,0
r41,1,41,tpo,0,1980,113.136,4.4368,6.6259,16,16,0
r42,1,42,coursera,0,1964,118.265,1.1879,4.0087,16,16,0
r43,1,43,financial_qa,0,1970,119.764,1.8078,7.7809,38,16,0
r37,1,37,review_summ,0,1943,101.897,1.2657,27.532,105,16,0
r35,1,35,paper_assistant,0,1934,93.575,2.0201,37.169,114,16,0
r46,1,46,multidoc_qa,0,1935,129.431,1.1594,3.313,16,16,0
r47,1,47,narrative_qa,0,1932,130.746,1.1513,8.3788,16,16,0
r44,1,44,legal_contract_qa,0,1964,122.276,3.2231,18.1632,63,16,0
r48,1,48,natural_question,0,1941,132.746,6.2299,9.4815,16,16,0
r50,1,50,quality,0,2032,140.441,1.2429,5.2264,16,16,0
r52,1,52,sci_fi,0,1956,145.669,2.9535,4.1106,16,16,0
r45,1,45,meeting_summ,0,1942,127.546,1.1742,27.7174,71,16,0
r53,1,53,scientific_qa,0,1935,149.782,5.4814,7.6521,16,16,0
r54,1,54,topic_retrieval_longchat,0,1945,155.265,1.1696,4.82,16,16,0
r55,1,55,tpo,0,2009,157.435,2.6502,8.1629,16,16,0
r56,1,56,coursera,0,2011,160.087,4.4926,6.7143,16,16,0
r58,1,58,legal_contract_qa,0,1961,166.804,1.9157,3.4049,20,16,0
r49,1,49,paper_assistant,0,1934,139.127,1.1595,36.9279,114,16,0
r51,1,51,review_summ,0,1942,142.229,2.9714,35.2176,106,16,0
r61,1,61,narrative_qa,0,1937,177.448,1.172,2.3343,16,16,0
r60,1,60,multidoc_qa,0,1935,176.056,1.1584,8.9726,30,16,0
r57,1,57,financial_qa,0,1971,165.6,1.2021,20.7421,77,16,0
r62,1,62,natural_question,0,1934,179.784,4.7018,6.8031,16,16,0
r59,1,59,meeting_summ,0,1942,170.21,4.4319,18.687,92,16,0
r64,2,14,coursera,1,1984,186.344,4.168,5.0372,16,1920,0
r63,1,63,paper_assistant,0,1934,185.03,1.1587,7.2699,114,16,0
r65,2,8,quality,1,1952,186.588,4.5615,5.7764,16,1920,0
r67,2,48,natural_question,1,1941,191.383,0.7635,1.607,16,1920,0
r69,2,26,topic_retrieval_longchat,1,1945,192.366,1.0466,2.2485,16,1920,0
r70,2,41,tpo,1,1987,192.992,0.6959,1.9401,16,1920,0
r66,2,3,meeting_summ,1,1937,188.898,2.2523,6.2545,55,1920,0
r68,2,18,multidoc_qa,1,1952,192.302,0.567,2.9949,33,1920,0
r71,2,63,paper_assistant,1,2032,194.616,0.2391,1.0494,16,1920,0
r72,2,56,coursera,1,2007,194.934,0.8215,1.6156,16,1920,0
r74,2,0,coursera,1,1974,195.298,1.1914,2.3703,16,1920,0
r76,2,55,tpo,1,1989,196.551,0.5742,1.6141,16,1920,0
r73,2,17,meeting_summ,1,1934,195.153,1.0555,3.585,39,1920,0
r78,2,11,scientific_qa,2,1944,198.166,0.8946,1.9549,16,1920,0
r75,2,16,legal_contract_qa,1,1981,195.667,0.9956,5.4416,67,1920,0
r80,2,27,tpo,1,1990,200.122,0.9081,1.9948,16,1920,0
r77,2,51,review_summ,1,1948,197.67,0.8184,6.1578,78,1920,0
r79,2,31,meeting_summ,1,1932,198.74,0.8405,6.7907,83,1920,0
r81,2,59,meeting_summ,1,1942,201.11,0.5426,4.8423,58,1920,0
r83,2,13,tpo,1,2008,203.83,0.918,2.1608,16,1920,0
r84,2,50,quality,1,2032,205.532,0.8249,1.8787,16,1920,0
r85,2,7,paper_assistant,1,2032,205.954,0.9317,1.9612,16,1920,0
r82,2,9,review_summ,1,1945,202.119,0.8525,6.8324,82,1920,0
r87,2,21,paper_assistant,1,2032,207.412,0.6626,1.7295,16,1920,0
r88,2,61,narrative_qa,1,1938,207.917,0.6427,1.6077,16,1920,0
r89,2,20,natural_question,1,1934,208.953,0.7787,1.7193,16,1920,0
r86,2,58,legal_contract_qa,1,1976,205.991,1.3414,5.3143,60,1920,0
r91,2,25,scientific_qa,1,1935,209.525,0.7579,1.8489,16,1920,0
r93,2,32,multidoc_qa,1,1942,211.308,0.813,2.0546,17,1920,0
r94,2,38,sci_fi,1,1964,211.375,1.046,2.1783,16,1920,0
r90,2,15,financial_qa,1,1983,209.144,1.0528,5.1864,65,1920,0
r92,2,43,financial_qa,1,1964,210.674,0.5536,4.4206,59,1920,0
r95,2,24,sci_fi,1,1969,213.364,0.8822,2.1051,16,1920,0
r96,2,40,topic_retrieval_longchat,1,1945,213.555,1.3354,2.443,16,1920,0
r99,2,6,natural_question,1,1936,215.471,0.5801,1.6831,16,1920,0
r100,2,33,narrative_qa,1,1941,215.999,0.5351,1.6875,16,1920,0
r97,2,2,legal_contract_qa,1,1976,214.331,0.6875,3.9107,45,1920,0
r98,2,4,multidoc_qa,1,1953,215.097,0.4849,3.9373,49,1920,0
r101,2,10,sci_fi,1,1966,217.156,0.852,1.8778,16,1920,0
r103,2,46,multidoc_qa,1,1940,218.244,0.7904,1.9888,22,1920,0
r104,2,12,topic_retrieval_longchat,1,1945,219.035,0.7851,1.8951,16,1920,0
r105,2,54,topic_retrieval_longchat,1,1945,219.036,0.8907,1.9571,16,1920,0
r106,2,19,narrative_qa,1,1939,220.234,0.5425,1.607,16,1920,0
