round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b,out_tokens,backlog
1,0,coursera,0,1971,1.6045,0,0,0,0,0,0,16,1
1,1,financial_qa,0,1963,3.0491,16,0,0,0,0,0,66,1
1,2,legal_contract_qa,0,1964,1.7778,16,0,0,0,0,0,24,1
1,3,meeting_summ,0,1938,3.1688,16,0,0,0,0,0,70,1
1,4,multidoc_qa,0,1952,2.0705,16,0,0,0,0,0,34,1
1,5,narrative_qa,0,1935,1.5348,16,0,0,0,0,0,16,1
1,6,natural_question,0,1940,1.5552,16,0,0,0,0,0,16,1
1,7,paper_assistant,0,1934,4.502,16,0,0,0,0,0,114,1
1,8,quality,0,1988,1.5791,16,0,0,0,0,0,16,1
1,9,review_summ,0,1940,4.3533,16,0,0,0,0,0,108,1
1,10,sci_fi,0,1961,1.5451,16,0,0,0,0,0,16,1
1,11,scientific_qa,0,1934,1.5337,16,0,0,0,0,0,16,1
1,12,topic_retrieval_longchat,0,1945,1.5675,16,0,0,0,0,0,16,1
1,13,tpo,0,1994,1.6176,16,0,0,0,0,0,16,1
1,14,coursera,0,1986,1.5999,16,0,0,0,0,0,16,1
1,15,financial_qa,0,1969,3.5037,16,0,0,0,0,0,79,1
1,16,legal_contract_qa,0,1961,1.786,16,0,0,0,0,0,24,1
1,17,meeting_summ,0,1939,2.5781,16,0,0,0,0,0,50,1
1,18,multidoc_qa,0,1936,1.8907,16,0,0,0,0,0,29,1
1,19,narrative_qa,0,1939,1.5579,16,0,0,0,0,0,16,1
1,20,natural_question,0,1939,1.5674,16,0,0,0,0,0,16,1
1,21,paper_assistant,0,1934,4.4923,16,0,0,0,0,0,114,1
1,22,quality,0,2032,1.6447,16,0,0,0,0,0,16,1
1,23,review_summ,0,1942,4.2882,16,0,0,0,0,0,106,1
1,24,sci_fi,0,1968,1.5475,16,0,0,0,0,0,16,1
1,25,scientific_qa,0,1933,1.718,16,0,0,0,0,0,22,1
1,26,topic_retrieval_longchat,0,1945,1.5554,16,0,0,0,0,0,16,1
1,27,tpo,0,1980,1.5921,16,0,0,0,0,0,16,1
1,28,coursera,0,1980,1.6001,16,0,0,0,0,0,16,1
1,29,financial_qa,0,1974,2.5719,16,0,0,0,0,0,48,1
1,30,legal_contract_qa,0,1961,1.5773,16,0,0,0,0,0,16,1
1,31,meeting_summ,0,1933,2.6803,16,0,0,0,0,0,54,1
1,32,multidoc_qa,0,1938,1.5286,16,0,0,0,0,0,16,1
1,33,narrative_qa,0,1942,1.5488,16,0,0,0,0,0,16,1
1,34,natural_question,0,1940,1.547,16,0,0,0,0,0,16,1
1,35,paper_assistant,0,1934,4.5109,16,0,0,0,0,0,114,1
1,36,quality,0,2001,1.6224,16,0,0,0,0,0,16,1
1,37,review_summ,0,1943,4.2645,16,0,0,0,0,0,105,1
1,38,sci_fi,0,1954,1.5455,16,0,0,0,0,0,16,1
1,39,scientific_qa,0,1931,2.1078,16,0,0,0,0,0,35,1
1,40,topic_retrieval_longchat,0,1945,1.5496,16,0,0,0,0,0,16,1
1,41,tpo,0,1980,1.6003,16,0,0,0,0,0,16,1
1,42,coursera,0,1964,1.5887,16,0,0,0,0,0,16,1
1,43,financial_qa,0,1970,2.2611,16,0,0,0,0,0,38,1
1,44,legal_contract_qa,0,1964,3.0028,16,0,0,0,0,0,63,1
1,45,meeting_summ,0,1942,3.2101,16,0,0,0,0,0,71,1
1,46,multidoc_qa,0,1935,1.5051,16,0,0,0,0,0,16,1
1,47,narrative_qa,0,1932,1.5271,16,0,0,0,0,0,16,1
1,48,natural_question,0,1941,1.5586,16,0,0,0,0,0,16,1
1,49,paper_assistant,0,1934,4.5033,16,0,0,0,0,0,114,1
