rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.952,1.2257,4.2975,16,0,0
r2,1,2,legal_contract_qa,0,1964,2.088,2.3856,4.7404,24,16,0
r5,1,5,narrative_qa,0,1935,6.874,2.2507,4.7502,16,16,0
r6,1,6,natural_question,0,1940,9.127,1.2812,2.7298,16,16,0
r4,1,4,multidoc_qa,0,1952,6.83,1.1952,5.8963,34,16,0
r1,1,1,financial_qa,0,1963,2.087,2.3862,10.9208,66,16,0
r3,1,3,meeting_summ,0,1938,5.389,1.194,8.3149,70,16,0
r7,1,7,paper_assistant,0,1934,21.605,1.1017,4.5212,114,16,0
r8,1,8,quality,0,1988,35.431,1.1875,1.6399,16,16,0
r9,1,9,review_summ,0,1940,37.199,1.1002,4.3654,108,16,0
r10,1,10,sci_fi,0,1961,43.956,1.1436,1.5939,16,16,0
r11,1,11,scientific_qa,0,1934,50.989,1.0957,2.7911,16,16,0
r12,1,12,topic_retrieval_longchat,0,1945,52.087,1.1536,1.7829,16,16,0
r13,1,13,tpo,0,1994,56.516,1.187,1.6422,16,16,0
r14,1,14,coursera,0,1986,60.596,1.1801,4.1286,16,16,0
r16,1,16,legal_contract_qa,0,1961,62.966,1.2049,2.4073,24,16,0
r15,1,15,financial_qa,0,1969,61.778,1.1858,6.5515,79,16,0
r17,1,17,meeting_summ,0,1939,66.296,1.1404,2.934,50,16,0
r19,1,19,narrative_qa,0,1939,75.166,1.1578,4.2756,16,16,0
r20,1,20,natural_question,0,1939,76.325,2.2066,3.2992,16,16,0
r18,1,18,multidoc_qa,0,1936,74.055,1.1089,5.89,29,16,0
r22,1,22,quality,0,2032,81.968,1.2262,3.1768,16,16,0
r21,1,21,paper_assistant,0,1934,76.327,2.2049,9.1008,114,16,0
r23,1,23,review_summ,0,1942,83.196,1.2038,4.8732,106,16,0
r24,1,24,sci_fi,0,1968,94.733,1.1354,2.8123,16,16,0
r25,1,25,scientific_qa,0,1933,95.87,1.1323,1.9422,22,16,0
r26,1,26,topic_retrieval_longchat,0,1945,101.62,1.0984,1.5461,16,32,0
r27,1,27,tpo,0,1980,107.731,1.1575,2.895,16,16,0
r28,1,28,coursera,0,1980,108.89,1.187,1.8261,16,16,0
r30,1,30,legal_contract_qa,0,1961,114.807,1.1728,1.8572,16,16,0
