round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b
1,0,coursera,0,1971,1.1079,0,0,0,0,0,0
1,1,financial_qa,0,1963,1.1189,16,0,0,0,0,0
1,2,legal_contract_qa,0,1964,1.094,16,0,0,0,0,0
1,3,meeting_summ,0,1938,1.078,16,0,0,0,0,0
1,4,multidoc_qa,0,1952,1.0786,16,0,0,0,0,0
1,5,narrative_qa,0,1935,1.0532,16,0,0,0,0,0
1,6,natural_question,0,1940,1.0824,16,0,0,0,0,0
1,7,paper_assistant,0,1934,1.0544,16,0,0,0,0,0
1,8,quality,0,1988,1.1247,16,0,0,0,0,0
1,9,review_summ,0,1940,1.0826,16,0,0,0,0,0
1,10,sci_fi,0,1961,1.0964,16,0,0,0,0,0
1,11,scientific_qa,0,1934,1.0533,16,0,0,0,0,0
1,12,topic_retrieval_longchat,0,1945,1.1179,16,0,0,0,0,0
1,13,tpo,0,1994,1.1613,16,0,0,0,0,0
1,14,coursera,0,1986,1.1577,16,0,0,0,0,0
1,15,financial_qa,0,1969,1.1426,16,0,0,0,0,0
1,16,legal_contract_qa,0,1961,1.1157,16,0,0,0,0,0
1,17,meeting_summ,0,1939,1.1021,16,0,0,0,0,0
1,18,multidoc_qa,0,1936,1.0899,16,0,0,0,0,0
1,19,narrative_qa,0,1939,1.0978,16,0,0,0,0,0
1,20,natural_question,0,1939,1.103,16,0,0,0,0,0
1,21,paper_assistant,0,1934,1.0867,16,0,0,0,0,0
1,22,quality,0,2032,1.1959,16,0,0,0,0,0
1,23,review_summ,0,1942,1.1005,16,0,0,0,0,0
1,24,sci_fi,0,1968,1.1118,16,0,0,0,0,0
1,25,scientific_qa,0,1933,1.0869,16,0,0,0,0,0
1,26,topic_retrieval_longchat,0,1945,1.1097,16,0,0,0,0,0
1,27,tpo,0,1980,1.1361,16,0,0,0,0,0
1,28,coursera,0,1980,1.1398,16,0,0,0,0,0
1,29,financial_qa,0,1974,1.1317,16,0,0,0,0,0
1,30,legal_contract_qa,0,1961,1.1239,16,0,0,0,0,0
1,31,meeting_summ,0,1933,1.0818,16,0,0,0,0,0
1,32,multidoc_qa,0,1938,1.1051,16,0,0,0,0,0
1,33,narrative_qa,0,1942,1.1032,16,0,0,0,0,0
1,34,natural_question,0,1940,1.1162,16,0,0,0,0,0
1,35,paper_assistant,0,1934,1.0545,16,0,0,0,0,0
1,36,quality,0,2001,1.1645,16,0,0,0,0,0
1,37,review_summ,0,1943,1.0832,16,0,0,0,0,0
1,38,sci_fi,0,1954,1.1274,16,0,0,0,0,0
1,39,scientific_qa,0,1931,1.0778,16,0,0,0,0,0
1,40,topic_retrieval_longchat,0,1945,1.1088,16,0,0,0,0,0
1,41,tpo,0,1980,1.1339,16,0,0,0,0,0
1,42,coursera,0,1964,1.1224,16,0,0,0,0,0
1,43,financial_qa,0,1970,1.1454,16,0,0,0,0,0
1,44,legal_contract_qa,0,1964,1.1173,16,0,0,0,0,0
1,45,meeting_summ,0,1942,1.1035,16,0,0,0,0,0
1,46,multidoc_qa,0,1935,1.0725,16,0,0,0,0,0
1,47,narrative_qa,0,1932,1.0751,16,0,0,0,0,0
1,48,natural_question,0,1941,1.1022,16,0,0,0,0,0
1,49,paper_assistant,0,1934,1.0948,16,0,0,0,0,0
1,50,quality,0,2032,1.1817,16,0,0,0,0,0
1,51,review_summ,0,1942,1.0979,16,0,0,0,0,0
1,52,sci_fi,0,1956,1.126,16,0,0,0,0,0
1,53,scientific_qa,0,1935,1.0829,16,0,0,0,0,0
1,54,topic_retrieval_longchat,0,1945,1.1163,16,0,0,0,0,0
1,55,tpo,0,2009,1.1669,16,0,0,0,0,0
1,56,coursera,0,2011,1.1693,16,0,0,0,0,0
1,57,financial_qa,0,1971,1.1439,16,0,0,0,0,0
1,58,legal_contract_qa,0,1961,1.1124,16,0,0,0,0,0
1,59,meeting_summ,0,1942,1.1048,16,0,0,0,0,0
1,60,multidoc_qa,0,1935,1.0945,16,0,0,0,0,0
1,61,narrative_qa,0,1937,1.1126,16,0,0,0,0,0
1,62,natural_question,0,1934,1.0856,16,0,0,0,0,0
1,63,paper_assistant,0,1934,1.0732,16,0,0,0,0,0
2,14,coursera,1,1984,1.0377,1920,1904,30,623902720,0,0
2,8,quality,1,1952,1.0307,1920,1904,30,623902720,0,0
2,3,meeting_summ,1,1937,1.1239,1920,1904,30,623902720,0,0
2,48,natural_question,1,1941,0.9673,1920,1904,30,623902720,0,0
2,18,multidoc_qa,1,1952,1.3348,1920,1904,30,623902720,0,0
2,26,topic_retrieval_longchat,1,1945,1.04,1920,1904,30,623902720,0,0
2,41,tpo,1,1987,1.0542,1920,1904,30,623902720,0,0
2,63,paper_assistant,1,2032,0.1459,1920,0,0,0,0,0
2,56,coursera,1,2007,1.2052,1920,1904,30,623902720,0,0
2,17,meeting_summ,1,1934,0.7977,1920,1904,30,623902720,0,0
2,0,coursera,1,1974,0.7825,1920,1904,30,623902720,0,0
2,16,legal_contract_qa,1,1981,1.0015,1920,1904,30,623902720,0,0
2,55,tpo,1,1989,0.7053,1920,1904,30,623902720,0,0
2,51,review_summ,1,1948,0.613,1920,1904,30,623902720,0,0
2,11,scientific_qa,2,1944,0.7453,1920,1904,30,623902720,0,0
2,31,meeting_summ,1,1932,0.6316,1920,1904,30,623902720,0,0
2,27,tpo,1,1990,0.6796,1920,1904,30,623902720,0,0
2,59,meeting_summ,1,1942,0.6611,1920,1904,30,623902720,0,0
2,9,review_summ,1,1945,1.034,1920,1904,30,623902720,0,0
2,13,tpo,1,2008,1.2678,1920,1904,30,623902720,0,0
2,50,quality,1,2032,1.1534,1920,1904,30,623902720,0,0
2,7,paper_assistant,1,2032,1.1545,1920,1904,30,623902720,0,0
2,58,legal_contract_qa,1,1976,1.2718,1920,1904,30,623902720,0,0
2,21,paper_assistant,1,2032,1.3894,1920,1904,30,623902720,0,0
2,61,narrative_qa,1,1938,1.3207,1920,1904,30,623902720,0,0
2,20,natural_question,1,1934,0.817,1920,1904,30,623902720,0,0
2,15,financial_qa,1,1983,1.1569,1920,1904,30,623902720,0,0
2,25,scientific_qa,1,1935,0.7792,1920,1904,30,623902720,0,0
2,43,financial_qa,1,1964,0.823,1920,1904,30,623902720,0,0
2,32,multidoc_qa,1,1942,0.8445,1920,1904,30,623902720,0,0
2,38,sci_fi,1,1964,0.74,1920,1904,30,623902720,0,0
2,24,sci_fi,1,1969,0.6786,1920,1904,30,623902720,0,0
2,40,topic_retrieval_longchat,1,1945,0.6262,1920,1904,30,623902720,0,0
2,2,legal_contract_qa,1,1976,0.7212,1920,1904,30,623902720,0,0
2,4,multidoc_qa,1,1953,0.6401,1920,1904,30,623902720,0,0
2,6,natural_question,1,1936,0.6073,1920,1904,30,623902720,0,0
2,33,narrative_qa,1,1941,0.74,1920,1904,30,623902720,0,0
2,10,sci_fi,1,1966,0.8615,1920,1904,30,623902720,0,0
2,37,review_summ,1,1945,0.9455,1920,1904,30,623902720,0,0
2,46,multidoc_qa,1,1940,1.0274,1920,1904,30,623902720,0,0
2,12,topic_retrieval_longchat,1,1945,0.8056,1920,1888,30,618659840,0,0
2,54,topic_retrieval_longchat,1,1945,1.0879,1920,1888,30,618659840,0,0
2,19,narrative_qa,1,1939,1.187,1920,1904,30,623902720,0,0
2,45,meeting_summ,1,1934,1.2067,1920,1904,30,623902720,0,0
2,49,paper_assistant,1,2032,1.1617,1920,1904,30,623902720,0,0
2,29,financial_qa,1,1963,0.7512,1920,1904,30,623902720,0,0
2,30,legal_contract_qa,1,1976,0.6686,1920,1904,30,623902720,0,0
2,42,coursera,1,1997,0.7605,1920,1904,30,623902720,0,0
2,28,coursera,1,2002,0.8637,1920,1904,30,623902720,0,0
2,44,legal_contract_qa,1,1976,1.0531,1920,1904,30,623902720,0,0
2,62,natural_question,1,1936,0.6555,1920,1904,30,623902720,0,0
2,57,financial_qa,1,1960,0.594,1920,1904,30,623902720,0,0
2,22,quality,1,2032,0.6536,1920,1904,30,623902720,0,0
2,34,natural_question,1,1937,0.6852,1920,1904,30,623902720,0,0
2,53,scientific_qa,1,1935,0.806,1920,1904,30,623902720,0,0
2,5,narrative_qa,1,1937,1.1366,1920,1904,30,623902720,0,0
2,36,quality,1,1997,1.0965,1920,1904,30,623902720,0,0
2,1,financial_qa,1,1966,1.141,1920,1904,30,623902720,0,0
2,52,sci_fi,1,1962,0.9802,1920,1904,30,623902720,0,0
2,23,review_summ,1,1941,1.2034,1920,1904,30,623902720,0,0
